FlowCell Text Data File: 20241104_i287_4.csv
Software Version: 1.56A
Date: 2024-11-05
Time: 15:27:29
User: subramaniam_lab

Experiment name: 20241104_i287_polysomes

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 40 rpm
Gradient: sucrose 10.0% to 50.0% v/v
Time: 1:45
w2t:  x 10^0
Number of Tubes: 6
Sample Volume: 0.4 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.30 mm/sec
Total Distance: 78.3 mm
Upper Limit to Slow-down Distance: 43.90 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 1
Distance/fraction: 78.30 mm
Start Distance: 0.00 mm
Volume/fraction: 11.166 ml
Data Samples/mm: 10.04

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 1
Integration time: 332 ms
Averaging: 1 samples
LED1 (260 nm) On Time: 8 ms
Sample A Zero: 794270
Source A Zero: 325212.3

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
828879, 328455, 25.28, -0.073654, , 
828376, 328296, 25.38, -0.073377, , 
829707, 328471, 25.48, -0.075791, , 
829562, 328393, 25.58, -0.075932, , 
830353, 328441, 25.68, -0.077748, , 
829502, 328387, 25.78, -0.075811, , 
830899, 328372, 25.88, -0.079700, , 
830766, 328386, 25.97, -0.079244, , 
831167, 328359, 26.07, -0.080515, , 
830880, 328364, 26.17, -0.079704, , 
831890, 328285, 26.27, -0.082979, , 
831815, 328267, 26.37, -0.082900, , 
832135, 328270, 26.47, -0.083745, , 
831980, 328355, 26.57, -0.082743, , 
833022, 328267, 26.67, -0.086163, , 
833055, 328287, 26.77, -0.086115, , 
833081, 328206, 26.86, -0.086740, , 
833565, 328328, 26.96, -0.087211, , 
833414, 328254, 27.06, -0.087311, , 
834196, 328300, 27.16, -0.089106, , 
834199, 328224, 27.26, -0.089635, , 
834214, 328211, 27.36, -0.089765, , 
834721, 328230, 27.46, -0.091002, , 
834693, 328143, 27.56, -0.091523, , 
835424, 328369, 27.66, -0.091943, , 
835311, 328260, 27.76, -0.092386, , 
835046, 328128, 27.85, -0.092577, , 
835599, 328208, 27.95, -0.093518, , 
834980, 328159, 28.05, -0.092187, , 
836662, 328478, 28.15, -0.094529, , 
835307, 328081, 28.25, -0.093603, , 
835752, 328067, 28.35, -0.094897, , 
835999, 328273, 28.44, -0.094150, , 
836135, 328197, 28.55, -0.095037, , 
835835, 328359, 28.64, -0.093119, , 
835815, 328147, 28.74, -0.094518, , 
834789, 328021, 28.84, -0.092618, , 
835028, 328158, 28.94, -0.092323, , 
834147, 328106, 29.04, -0.090304, , 
834335, 328181, 29.14, -0.090297, , 
833427, 328134, 29.24, -0.088169, , 
832853, 328093, 29.33, -0.086899, , 
832286, 328235, 29.43, -0.084393, , 
832436, 328296, 29.53, -0.084380, , 
831634, 328310, 29.63, -0.082115, , 
830852, 328173, 29.73, -0.080937, , 
831114, 328434, 29.83, -0.079858, , 
830376, 328277, 29.93, -0.078935, , 
830349, 328261, 30.03, -0.078971, , 
830294, 328295, 30.13, -0.078589, , 
830456, 328420, 30.23, -0.078171, , 
830206, 328202, 30.32, -0.078988, , 
830389, 328276, 30.42, -0.078977, , 
830887, 328354, 30.52, -0.079791, , 
830811, 328301, 30.62, -0.079949, , 
831167, 328353, 30.72, -0.080556, , 
831548, 328354, 30.81, -0.081581, , 
831326, 328329, 30.91, -0.081151, , 
832615, 328505, 31.01, -0.083432, , 
832573, 328556, 31.11, -0.082969, , 
832793, 328410, 31.21, -0.084564, , 
832752, 328401, 31.31, -0.084515, , 
833354, 328399, 31.41, -0.086155, , 
833172, 328488, 31.51, -0.085053, , 
834386, 328554, 31.61, -0.087878, , 
834186, 328569, 31.71, -0.087236, , 
834548, 328468, 31.80, -0.088904, , 
834429, 328475, 31.90, -0.088535, , 
835748, 328669, 32.00, -0.090761, , 
835682, 328605, 32.10, -0.091021, , 
835408, 328438, 32.20, -0.091427, , 
835461, 328419, 32.30, -0.091700, , 
836030, 328371, 32.40, -0.093561, , 
836148, 328458, 32.49, -0.093283, , 
836420, 328499, 32.59, -0.093734, , 
836643, 328519, 32.69, -0.094197, , 
836834, 328514, 32.79, -0.094745, , 
837210, 328466, 32.89, -0.096085, , 
837171, 328422, 32.99, -0.096281, , 
837043, 328293, 33.09, -0.096821, , 
837489, 328363, 33.19, -0.097540, , 
837963, 328490, 33.29, -0.097943, , 
837876, 328382, 33.38, -0.098450, , 
838221, 328452, 33.48, -0.098896, , 
838085, 328386, 33.58, -0.098984, , 
838131, 328244, 33.68, -0.100080, , 
838197, 328405, 33.78, -0.099154, , 
838869, 328402, 33.88, -0.100978, , 
838662, 328366, 33.98, -0.100669, , 
838711, 328242, 34.08, -0.101651, , 
838731, 328307, 34.18, -0.101259, , 
839107, 328333, 34.27, -0.102089, , 
839204, 328448, 34.37, -0.101561, , 
839748, 328548, 34.47, -0.102335, , 
839658, 328550, 34.57, -0.102080, , 
839607, 328578, 34.67, -0.101751, , 
839866, 328421, 34.77, -0.103521, , 
839738, 328448, 34.87, -0.102993, , 
839655, 328444, 34.97, -0.102798, , 
839640, 328576, 35.06, -0.101853, , 
839817, 328553, 35.17, -0.102485, , 
839422, 328551, 35.26, -0.101440, , 
838775, 328392, 35.36, -0.100794, , 
838424, 328475, 35.46, -0.099284, , 
837890, 328436, 35.56, -0.098117, , 
837188, 328520, 35.66, -0.095655, , 
836862, 328502, 35.76, -0.094902, , 
836229, 328604, 35.86, -0.092501, , 
835613, 328692, 35.95, -0.090240, , 
834352, 328538, 36.05, -0.087896, , 
833582, 328542, 36.15, -0.085791, , 
832707, 328554, 36.25, -0.083345, , 
831839, 328526, 36.35, -0.081190, , 
830783, 328372, 36.45, -0.079386, , 
830159, 328291, 36.55, -0.078250, , 
829746, 328359, 36.65, -0.076664, , 
