distance_mm,absorbance,fraction_number,fraction_volume_ml
10.41,0.09415488560960618,NA,NA
10.44,0.09359346036386175,NA,NA
10.47,0.09309979333743111,NA,NA
10.5,0.09270776363997157,NA,NA
10.53,0.09237865228901794,NA,NA
10.56,0.09201082195559901,NA,NA
10.59,0.09145907645547087,NA,NA
10.62,0.0909605695562321,NA,NA
10.65,0.0904669025298016,NA,NA
10.68,0.0900603532139176,NA,NA
10.71,0.0897022026261151,NA,NA
10.74,0.08927629381899853,NA,NA
10.77,0.08881166602941677,NA,NA
10.8,0.08831315913017812,NA,NA
10.83,0.08785821108621267,NA,NA
10.86,0.0875049003712183,NA,NA
10.89,0.08708383143690988,NA,NA
10.92,0.0865514454280142,NA,NA
10.95,0.08605293852877555,NA,NA
10.98,0.08555443162953677,NA,NA
11.01,0.08498816651098419,NA,NA
11.04,0.08428154508099533,NA,NA
11.07,0.08347812619484367,NA,NA
11.1,0.08285378260259332,NA,NA
11.13,0.08217620040945335,NA,NA
11.16,0.08163413465494138,NA,NA
11.19,0.08119370622940035,NA,NA
11.22,0.08057420250995816,NA,NA
11.25,0.08004665637387048,NA,NA
11.28,0.07947555138250977,NA,NA
11.31,0.07892380588238149,NA,NA
11.34,0.0784107793647184,NA,NA
11.37,0.07773319717157842,NA,NA
11.4,0.07715725230740941,NA,NA
11.43,0.07632963405721702,NA,NA
11.46,0.07570045059215852,NA,NA
11.49,0.0751341854736058,2,0.821
11.52,0.0745050020085473,NA,NA
11.55,0.07394841663561089,NA,NA
11.58,0.0734353901179478,NA,NA
11.61,0.07288848449062768,NA,NA
11.64,0.07237061810015644,NA,NA
11.67,0.07171723527105707,NA,NA
11.7,0.07120904862620213,NA,NA
11.73,0.07057018541552733,NA,NA
11.76,0.07006683864348054,NA,NA
11.79,0.06963608996355582,NA,NA
11.82,0.06901658624411361,NA,NA
11.85,0.06865359578350283,NA,NA
11.88,0.0682325268491944,NA,NA
11.91,0.06781629778769425,NA,NA
11.94,0.06747266681831605,NA,NA
11.97,0.06709515673928096,NA,NA
12,0.06669828716901327,NA,NA
12.03,0.06635949607244322,NA,NA
12.06,0.06609814294080353,NA,NA
12.09,0.06595294675655924,NA,NA
12.12,0.06585130942758828,NA,NA
12.15,0.06578355120827435,NA,NA
12.18,0.06549799871259392,NA,NA
12.21,0.06522212596252978,NA,NA
12.24,0.06496077283089009,NA,NA
12.27,0.0647332988089073,NA,NA
12.3,0.06464134122555262,NA,NA
12.33,0.06462198173432003,NA,NA
12.36,0.06460262224308745,NA,NA
12.39,0.06461714186151189,NA,NA
12.42,0.06493173359404121,NA,NA
12.45,0.0651834069800646,NA,NA
12.48,0.065435080366088,NA,NA
12.51,0.06558511642314044,NA,NA
12.54,0.06565771451526264,NA,NA
12.57,0.06569643349772769,NA,NA
12.6,0.06589970815566976,NA,NA
12.63,0.06624333912504782,NA,NA
12.66,0.06652889162072825,NA,NA
12.69,0.06671764666024586,NA,NA
12.72,0.06692092131818779,NA,NA
12.75,0.06725003266914155,NA,NA
12.78,0.0676323826209848,NA,NA
12.81,0.06783081740611857,NA,NA
12.84,0.0679469743535141,NA,NA
12.84,0.06796149397193842,NA,NA
12.87,0.06810185028337455,NA,NA
12.9,0.06828576545008402,NA,NA
12.93,0.06862939641946209,NA,NA
12.96,0.06892946853356696,NA,NA
12.99,0.06908434446342755,NA,NA
13.02,0.0692053412836311,NA,NA
13.05,0.06925857988452072,NA,NA
13.08,0.06927309950294516,NA,NA
13.11,0.06928277924856145,NA,NA
13.14,0.06929729886698589,NA,NA
13.17,0.06931181848541021,NA,NA
13.2,0.06931181848541021,NA,NA
13.23,0.06930697861260206,NA,NA
13.26,0.06927309950294516,NA,NA
13.29,0.06911338370027643,NA,NA
13.32,0.06879395209493896,NA,NA
13.35,0.06849871985364224,NA,NA
13.38,0.06827608570446773,NA,NA
13.41,0.06806797117371766,NA,NA
13.44,0.0677485395683802,NA,NA
13.47,0.06743878770865903,NA,NA
13.5,0.06714839534017059,NA,NA
13.53,0.06672732640586215,NA,NA
13.56,0.06634497645401878,NA,NA
13.59,0.0660497442127222,NA,NA
13.62,0.06560447591437303,NA,NA
13.65,0.06527536456341927,NA,NA
13.68,0.06476233804575618,NA,NA
13.71,0.06422511216405236,NA,NA
13.74,0.063750804628854435,NA,NA
13.77,0.06324745785680765,NA,NA
13.8,0.06261827439174901,NA,NA
13.83,0.062076208637237035,NA,NA
13.86,0.06146154479060298,NA,NA
13.89,0.060963037891364334,NA,NA
13.92,0.0605855278123291,NA,NA
13.95,0.059932144983229865,NA,NA
13.98,0.05939007922871789,NA,NA
14.01,0.05876089576365939,NA,NA
14.04,0.05809299331613572,NA,NA
14.07,0.057391211758955014,NA,NA
14.1,0.05688786498690822,NA,NA
14.13,0.056166723938494915,NA,NA
14.16,0.05551818098220383,NA,NA
