sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TNKS1BP1,4,0.2143,0.34825,NA,783,1,0.84505,0.84556,NA,1833,0,-0.0016546,0.34825,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,HNRNPH3,4,0.79586,0.79752,NA,1739,1,0.84551,0.84605,NA,1834,0,-0.011837,0.79752,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,EDC4,4,0.072742,0.16302,0.227246,351,3,0.84596,0.84643,NA,1835,0,-0.1661,0.16302,0.227246,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ARHGEF1,3,0.72725,0.72821,NA,1611,0,0.8462,0.8458,NA,1836,0,-0.034273,0.72821,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TRMT12,4,0.56739,0.6396,NA,1376,1,0.84642,0.84691,NA,1837,0,0.011456,0.84691,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PNPT1,4,0.047606,0.11478,0.213516,251,3,0.84665,0.84717,NA,1838,0,-0.19039,0.11478,0.213516,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,REXO1,4,0.45016,0.58225,NA,1250,1,0.84676,0.84726,NA,1839,0,0.019078,0.84726,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PPARGC1B,3,0.52155,0.55213,NA,1324,1,0.84729,0.8469,NA,1840,0,-0.088108,0.55213,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,STRBP,4,0.073796,0.16506,0.228733,355,3,0.84744,0.84798,NA,1841,0,-0.12495,0.16506,0.228733,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,U2AF2,4,0.29143,0.43132,NA,957,1,0.84834,0.84892,NA,1842,0,-0.079373,0.43132,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ADARB2,4,0.10437,0.22154,0.241127,483,3,0.84857,0.84913,NA,1843,0,-0.13097,0.22154,0.241127,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,NANOS1,4,0.69575,0.71787,NA,1558,1,0.84891,0.84943,NA,1844,0,0.047074,0.84943,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,DDX39A,4,0.05644,0.13202,0.216097,288,3,0.84913,0.84963,NA,1845,0,-0.17554,0.13202,0.216097,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,CARS1,4,0.22305,0.35772,NA,797,2,0.84992,0.85045,NA,1846,0,-0.19092,0.35772,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SF3B3,4,0.268,0.40618,NA,908,2,0.85059,0.85111,NA,1847,0,-0.27524,0.40618,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ENDOV,4,0.030496,0.08037,NA,184,2,0.85103,0.85155,NA,1848,0,-0.084204,0.08037,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPL13A,4,0.0049856,0.017531,0.137493,49,3,0.85159,0.85212,NA,1849,0,-0.28789,0.017531,0.137493,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MSL3,4,0.091429,0.19825,0.234257,439,3,0.85181,0.85236,NA,1850,0,-0.094205,0.19825,0.234257,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SYNCRIP,3,0.66745,0.66952,NA,1507,1,0.85192,0.85152,NA,1851,0,-0.054648,0.66952,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TRPT1,4,0.31093,0.45239,NA,989,1,0.85247,0.85309,NA,1852,0,-0.0055632,0.45239,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MKRN2,4,0.76587,0.7712,NA,1683,1,0.8528,0.85343,NA,1853,0,0.023229,0.85343,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZC3H4,4,0.77782,0.78142,NA,1706,1,0.85346,0.85404,NA,1854,0,-0.012745,0.78142,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RBBP6,4,0.064969,0.14843,NA,320,2,0.85357,0.85419,NA,1855,0,-0.16332,0.14843,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZCRB1,4,0.56714,0.63946,NA,1375,1,0.85423,0.85483,NA,1856,0,0.022629,0.85483,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SART1,4,0.10272,0.21849,NA,473,2,0.85467,0.85527,NA,1857,0,-0.12537,0.21849,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,ZNF326,4,0.076514,0.17035,0.228733,367,3,0.85478,0.85536,NA,1858,0,-0.15624,0.17035,0.228733,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,USP39,4,0.64431,0.68366,NA,1481,1,0.85511,0.85571,NA,1859,0,-0.03365,0.68366,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPA2,4,0.38731,0.53433,NA,1151,2,0.85554,0.85616,NA,1860,0,-0.028405,0.53433,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,MRPL12,4,0.070652,0.15907,NA,343,2,0.85576,0.85637,NA,1861,0,-0.052052,0.15907,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPS27L,4,0.38558,0.53259,NA,1148,1,0.85587,0.85651,NA,1862,0,-0.048072,0.53259,1,1
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,RPGR,4,0.043575,0.10674,0.207465,234,3,0.85619,0.85686,NA,1863,0,-0.15557000000000001,0.10674,0.207465,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,APOBEC3D,4,0.076016,0.1695,0.228733,364,3,0.85673,0.85743,NA,1864,0,-0.14349,0.1695,0.228733,3
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,SFN,4,0.39899,0.54674,NA,1171,1,0.85706,0.85767,NA,1865,0,0.034203,0.85767,1,0
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,IARS2,4,0.1217,0.25005,NA,557,2,0.85749,0.85814,NA,1866,0,-0.087964,0.25005,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,TDRD3,4,0.22173,0.35636,NA,794,2,0.85899,0.85967,NA,1867,0,-0.1336,0.35636,1,2
eyfpwt_homoharringtonine_bc1_total_vs_eyfpwt_untreated_bc1_total,eyfpwt_homoharringtonine_bc1_total,eyfpwt_untreated_bc1_total,PTDSS1,4,0.2876,0.42717,NA,951,2,0.8591,0.85977,NA,1868,0,-0.055823,0.42717,1,2
