treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,U2AF2,0.26167,0.063451,0.0094458,day13,-3.7552,0.086183
heavy,mono,rep1,U2AF2,0.26167,0.063451,0.0094458,day7,-0.56476,NA
heavy,mono,rep1,HADHB,0.13237,0.063451,0.0094956,day13,1.3795,0.092457
heavy,mono,rep1,HADHB,0.13237,0.063451,0.0094956,day7,0.48058,0.150573
heavy,mono,rep1,SRRM2,0.20241,0.063451,0.0099576,day13,-0.20053,NA
heavy,mono,rep1,SRRM2,0.20241,0.063451,0.0099576,day7,-0.66802,0.04321
heavy,mono,rep1,ZMAT5,0.1546,0.063451,0.010121,day13,-1.0496,NA
heavy,mono,rep1,ZMAT5,0.1546,0.063451,0.010121,day7,0.48776,0.203424
heavy,mono,rep1,AKAP8,0.23988,0.063451,0.010148,day13,0.6613,NA
heavy,mono,rep1,AKAP8,0.23988,0.063451,0.010148,day7,0.3359,0.305431
heavy,mono,rep1,NUSAP1,0.12261,0.063451,0.010406,day13,1.3568,0.064905
heavy,mono,rep1,NUSAP1,0.12261,0.063451,0.010406,day7,0.46413,0.252859
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day13,-1.1488,0.314416
heavy,mono,rep1,MRPS7,0.12835,0.063451,0.010737,day7,-0.056287,NA
heavy,mono,rep1,NUDT3,0.17798,0.063451,0.010777,day13,0.55822,NA
heavy,mono,rep1,NUDT3,0.17798,0.063451,0.010777,day7,0.0026501,NA
heavy,mono,rep1,CRKL,0.3613,0.063451,0.011017,day13,0.80456,NA
heavy,mono,rep1,CRKL,0.3613,0.063451,0.011017,day7,0.39729,0.275765
heavy,mono,rep1,RNGTT,0.39686,0.063451,0.011126,day13,-2.1935,0.117508
heavy,mono,rep1,RNGTT,0.39686,0.063451,0.011126,day7,-1.2695,0.206893
heavy,mono,rep1,LUC7L3,0.24146,0.063451,0.0088208,day13,-3.3279,NA
heavy,mono,rep1,LUC7L3,0.24146,0.063451,0.0088208,day7,-0.36223,NA
heavy,mono,rep1,TECR,0.20822,0.063451,0.011407,day13,0.12552,NA
heavy,mono,rep1,TECR,0.20822,0.063451,0.011407,day7,0.16113,NA
