Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
18.67,0.2067342255156777,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.77,0.20095531714870318,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.86,0.1928779793175911,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
18.96,0.18722695349223026,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.06,0.18295498534535198,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.16,0.18514281369241825,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.26,0.19131573853895922,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.36,0.20635749046065363,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.46,0.23315752364098877,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.56,0.2687261516341315,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.66,0.3217732124094453,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.75,0.380008156832384,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.85,0.4529253995465354,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
19.95,0.5239451418459327,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.05,0.602029530498258,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.15,0.6831277995907757,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.25,0.7463778134159155,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.35,0.8008281258640711,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.44,0.853716197533595,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
20.55,0.913814079522203,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
