type,day,gene,A,B
total,day 5,IFIT1,-0.040774,0.10502
grna,day 5,FAM98C,0.18132,-0.1964
grna,day 13,DHX36,-0.64796,-0.18668
grna,day 21,TARS2,-0.78028,-1.0483
grna,day 5,TDRD10,-0.52218,0.53789
grna,day 13,CMTR1,-0.7233,-1.2371
grna,day 21,SYNE2,-1.1132,3.244
total,day 21,CCDC137,-0.50255,-2.4364
total,day 5,CCAR1,0.18251,0.30059
grna,day 13,PCNP,-1.048,-0.83629
grna,day 21,ALKBH1,0.077131,-1.087
total,day 5,PUSL1,0.34942,-0.18414
grna,day 21,MTFMT,-0.47169,0.16425
total,day 21,RPL14,-4.0061,-3.1766
total,day 5,C9ORF156,0.34554,0.25097
grna,day 13,HNRNPF,0.18439,1.2455
total,day 13,MRPS22,-0.14956,-2.2116
grna,day 21,TMPO,1.4856,-0.74525
total,day 5,BICC1,-0.12723,-0.44813
total,day 13,RBMX2,-2.023,-2.0161
grna,day 21,CPSF2,-0.70566,-0.85864
grna,day 5,BASP1,1.3039,-0.73499
total,day 5,DKC1,-0.094454,0.015055
grna,day 13,CPNE3,0.16633,-0.14362
total,day 13,LSM1,1.2167,-1.6117
grna,day 21,SUGP1,-1.4129,0.68879
total,day 5,NUP93,-0.17308,0.32443
total,day 13,BAZ2B,0.39954,-2.3752
total,day 5,MSN,-0.24897,0.086662
grna,day 21,ZCRB1,1.2034,-0.93236
grna,day 5,RBM41,-0.26469,-0.071915
total,day 5,ZNF106,-0.097484,-0.10694
grna,day 13,SEPTIN7,0.98497,-0.14874
total,day 21,FRG1,-2.9832,0.037068
total,day 5,TMED10,0.3662,0.091336
grna,day 13,ZC3H3,-0.97697,-0.14871
total,day 13,C1QBP,0.054546,-1.744
total,day 21,AKAP1,-0.50471,-2.0421
grna,day 5,SRP9,-0.3914,0.34601
grna,day 13,PUS7,-0.17305,0.79933
total,day 13,RANBP2,-1.2587,-0.98318
grna,day 5,MRPS18A,-0.12043,-0.71314
total,day 21,LIMA1,-0.1257,-1.6893
grna,day 5,NXF5,0.42463,-0.19022
total,day 5,PUM2,0.53299,-0.23021
grna,day 13,RRP1B,0.93807,-0.26678
grna,day 21,XPO7,0.33396,0.76918
grna,day 5,TMSB4X,-0.65216,-0.14158
grna,day 13,RCC2,0.4777,-0.84969
total,day 13,ERAL1,-0.96828,-0.09843
grna,day 21,FRG1,-1.2519,0.6572
grna,day 5,CWC15,-0.27743,-0.076216
total,day 5,CLTC,0.25304,-0.24012
total,day 5,TBL3,0.06391,-0.41872
grna,day 13,ZC3H18,-0.40433,-1.0482
total,day 13,SYNCRIP,0.84561,-1.0291
grna,day 21,MRPL36,-0.48733,-0.41139
grna,day 5,YAP1,-0.46506,-0.42257
total,day 5,SETD1A,-0.47519,0.036461
grna,day 13,RNASEH1,-0.66465,0.67479
total,day 13,PAWR,-1.3031,1.3026
grna,day 21,RPL39,-0.40909,-1.2755
grna,day 5,FMR1,0.47031,-0.17946
total,day 5,DIO1,-0.0078718,0.6282
grna,day 13,EXOSC5,-0.73601,0.40019
total,day 13,EDC4,-1.2334,0.048007
grna,day 5,CPSF4L,-0.0723,-0.12756
total,day 5,TFB1M,0.019167,0.17411
grna,day 13,CSTF2T,-0.19831,-0.67701
total,day 5,ELAVL1,0.35626,-0.12143
grna,day 21,C1QBP,-1.4303,-0.622
total,day 21,RNASE11,1.6159,-0.39607
grna,day 5,CCDC47,0.76162,0.69237
total,day 5,PRPF3,-0.11966,-0.18274
total,day 13,MRPL9,-1.3923,-1.2714
grna,day 21,RTF1,0.95673,-1.4303
total,day 21,PCF11,-2.4649,-1.4498
grna,day 5,ST13,0.0077629,-0.6456
total,day 5,FARSB,-0.44967,0.41988
grna,day 21,EEFSEC,-0.58634,-1.2763
total,day 5,RPL38,0.14655,0.16247
grna,day 13,RBMXL1,-1.2802,0.022762
total,day 13,MRPS27,-1.1368,-1.4094
total,day 21,CNOT10,-1.9864,-0.39728
grna,day 5,KHSRP,-0.38665,-0.6938
grna,day 13,H4C12,-1.1639,-0.16479
grna,day 21,GEMIN7,-1.0462,-0.042018
grna,day 5,PAN3,-0.44577,0.72843
total,day 5,YWHAE,0.57325,0.55439
grna,day 13,CWF19L2,0.01251,-1.0158
total,day 13,RANGRF,-1.045,-0.032976
grna,day 21,LARS2,-0.85581,-0.73494
total,day 5,CANX,-0.06094,-0.24197
total,day 13,PPIA,1.4758,-0.75439
total,day 5,STIP1,-0.27999,-0.076355
grna,day 21,CALR3,-1.2616,0.51837
grna,day 5,PABPC1L2B,-0.44951,0.52211
total,day 5,EEF1E1,0.11822,0.27041
grna,day 13,TRUB1,1.474,1.1738
total,day 21,NOL11,-0.99049,-2.013
grna,day 5,CNOT7,-0.1149,0.42049
total,day 5,SBDS,0.20596,0.31293
grna,day 21,MMAA,0.56474,1.2442
grna,day 5,H4C2,0.031661,-0.61669
total,day 5,MRPL23,-0.14139,0.5007
grna,day 13,CLASRP,-0.82645,0.85183
total,day 13,RPUSD2,-1.2161,-0.30605
grna,day 21,RBM34,0.29299,-1.4198
total,day 21,EIF3A,-2.2444,-0.78751
grna,day 5,DDX49,0.41131,0.18698
total,day 5,DNAJC2,0.20004,0.24759
grna,day 13,PELP1,-0.84381,-2.0162
total,day 5,DDX49,0.13797,-0.09886
grna,day 13,RPL29,-1.5734,-0.17235
grna,day 21,NMD3,-0.31151,-1.001
total,day 21,GRSF1,-2.078,-1.654
grna,day 5,CTNND1,0.80362,0.28738
total,day 5,RBM34,-0.24218,0.27862
total,day 13,RPUSD3,-0.59458,-0.80513
grna,day 21,THRAP3,0.28797,-0.97624
total,day 5,LRRFIP2,0.2906,0.096385
grna,day 13,NIFK,-1.626,-0.99972
total,day 13,EPPK1,-2.2563,1.8799
total,day 21,RPP40,-2.8888,0.40817
total,day 5,LUZP4,0.12268,0.1808
total,day 13,H4C15,-1.0265,-0.10454
grna,day 21,CWC25,0.82384,-0.90886
total,day 21,RBM6,-1.6237,0.36569
total,day 5,POLR1G,0.0095899,-0.18281
grna,day 5,CAPRIN2,-0.26951,-0.11483
total,day 5,MAP4,-0.21106,0.018713
grna,day 13,NMD3,-0.65869,-0.76871
grna,day 21,RPL29,-1.3171,0.54733
total,day 21,DDX28,-2.3257,-1.8796
grna,day 5,ALKBH1,0.98545,-0.53193
grna,day 13,NCL,-1.0647,-0.31898
grna,day 21,FASTKD5,-0.8926,-1.043
total,day 21,FASTKD5,-0.67027,-2.1167
total,day 5,INTS6,-0.21292,-0.30283
grna,day 13,TGS1,-0.055233,-0.47787
total,day 13,MRPS6,-0.92927,-1.1452
total,day 21,NKTR,-1.53,1.9639
grna,day 13,HSPD1,-0.75735,-0.30729
grna,day 21,CELF4,0.80486,1.1926
grna,day 5,RBM33,0.19161,-0.32337
total,day 5,RPL28,0.1955,-0.0050168
grna,day 13,IPO8,0.97103,-1.0108
total,day 13,RIOK2,-0.69269,0.083161
grna,day 21,NUFIP2,-0.055838,-0.67828
grna,day 5,SKIC2,-0.15188,-0.57531
total,day 5,NSA2,-0.21768,-0.18639
grna,day 13,UTP18,-0.11159,-0.86868
total,day 13,LARP7,-0.32493,-1.2385
grna,day 21,RNASEH2B,1.0402,-0.58474
grna,day 5,GTF3A,0.39792,-0.020813
total,day 5,APEX1,0.23718,-0.028614
total,day 13,RPL7L1,-1.1567,-1.8674
grna,day 21,SMG8,-1.4092,0.99942
total,day 21,SUZ12,-1.5676,0.66554
grna,day 5,DYNC2H1,-0.11078,0.47218
grna,day 13,ZC3H12D,0.12185,-1.346
total,day 13,MRPL40,-0.75879,0.28593
total,day 5,KHSRP,-0.029199,-0.18237
total,day 21,UTP23,-2.6256,0.59965
total,day 5,RBM3,0.21509,-0.34258
grna,day 13,C19ORF66,-0.48328,-0.56766
total,day 13,AIMP2,0.5126,-1.1808
grna,day 5,AARS1,1.5757,-0.47512
grna,day 13,NOSIP,0.18841,0.21499
total,day 13,C15ORF52,-0.61522,-1.06
total,day 5,GMPR2,0.063291,-0.33933
grna,day 13,FKBP1A,0.016174,-0.70082
total,day 21,H4C15,-2.0765,0.53462
grna,day 5,SYNE1,0.89113,-0.16882
grna,day 13,GPATCH8,0.15273,-1.8685
grna,day 5,PDCD4,-0.40011,0.060672
grna,day 13,DDX25,1.7285,-1.1146
grna,day 21,DAZ4,-0.29337,-0.98067
grna,day 5,PATL1,1.0213,-0.77334
total,day 5,NUDT16,0.15702,-0.17329
grna,day 21,MRPL46,-1.0821,0.83834
total,day 13,RBM5,1.0113,-0.96587
grna,day 5,CHCHD1,-0.50498,0.081612
total,day 5,DHX57,0.21667,-0.24065
grna,day 21,COL14A1,0.25807,-1.3877
total,day 5,CSDE1,-0.083598,0.22009
grna,day 21,HSP90AB1,1.2189,-1.3555
grna,day 5,TKT,-0.34726,0.46607
total,day 5,PDCD7,0.047653,0.074953
total,day 13,ZFC3H1,0.67692,-1.2218
total,day 21,ATP5F1C,-3.1648,-2.4386
grna,day 5,H1-0,-0.43477,0.21077
grna,day 13,NUFIP2,-0.12986,-0.5089
total,day 13,MRPS15,-1.114,-0.35156
total,day 21,ENDOV,-1.1538,1.1839
grna,day 5,SNUPN,-0.42057,-0.22415
grna,day 13,FUBP1,-0.95482,0.56952
total,day 21,USP10,-1.3793,0.19737
grna,day 5,DCD,0.6773,0.46898
total,day 5,SRSF4,-0.30539,0.23053
grna,day 13,CIRBP,-0.44937,-0.12834
grna,day 5,MSN,0.53873,-0.61486
total,day 5,FAM98B,-0.082544,-0.053148
grna,day 13,RNASET2,-0.68148,1.3567
total,day 13,RBM28,-0.20512,-1.5643
grna,day 5,RDM1,-0.34819,0.38651
grna,day 13,NUP153,0.87012,-0.22932
total,day 13,UTP14C,-1.3819,0.371
grna,day 21,RNF10,-1.3769,0.29561
total,day 5,THUMPD1,-0.022942,-0.20529
grna,day 13,SPAG9,-0.85843,0.58197
total,day 13,ZCRB1,-1.0734,-1.4795
total,day 21,RPS10,-2.4726,-1.895
grna,day 5,SRPRB,0.41003,-0.38348
grna,day 13,MSI2,0.68129,-0.55709
total,day 13,LLPH,-1.3282,-0.53116
grna,day 21,EFTUD2,-1.0137,0.78866
grna,day 5,TEP1,-0.012512,-0.34557
grna,day 13,RPL14,-1.5485,-1.9216
grna,day 5,GLRX3,-0.53838,0.61569
total,day 5,DHX36,-0.082121,0.58412
grna,day 13,TRMT6,-0.83013,-0.0017904
total,day 21,ALDH6A1,0.27679,-1.3146
total,day 5,FN1,-0.4372,0.052349
total,day 21,RBM5,1.4528,-1.9455
grna,day 5,DDX59,-0.28045,-0.82867
total,day 5,CDKAL1,-0.32044,0.11691
grna,day 13,NOP2,-0.59339,-1.3122
grna,day 13,DHX40,-0.79217,0.89753
grna,day 21,RPSA,-0.95534,-0.37605
total,day 13,SRFBP1,-1.1249,-1.2193
grna,day 21,TMA16,-0.44642,-1.366
grna,day 5,OTUD4,-0.75819,0.32547
total,day 5,EIF4G2,0.28478,0.29943
grna,day 13,HSP90AB1,1.3169,-1.2722
grna,day 21,FKBP1A,-0.30527,-1.05
grna,day 13,FASTKD5,-1.2142,-0.70545
total,day 13,RBMS2,0.27457,-1.2209
grna,day 5,MRPL52,0.17942,-0.24117
total,day 5,GPKOW,0.18274,0.063656
grna,day 21,DHX58,1.0049,-1.204
grna,day 13,GCN1,-1.2947,0.24075
total,day 13,SPAG9,-1.7124,2.0913
total,day 21,ENO1,-0.79943,-1.479
grna,day 5,PIWIL2,0.80387,-0.40874
grna,day 13,FDPS,-1.0425,1.467
total,day 13,DCN,-0.82252,0.39997
total,day 5,TRMT10C,-0.34313,-0.29899
grna,day 13,FDXACB1,1.0333,-1.2604
total,day 13,SUZ12,-0.89121,-0.41579
grna,day 21,PPIE,-0.85106,0.16302
grna,day 5,ADAT3,-0.068316,0.66485
total,day 5,BST2,0.38195,0.021473
total,day 13,ZC3H18,-0.76346,-0.73367
grna,day 21,ESS2,-0.50735,0.62769
total,day 21,EIF5A,-1.6394,-1.5937
total,day 5,CLASRP,0.39623,-0.14664
total,day 13,CLNS1A,-0.84309,-0.16234
grna,day 21,CS,-1.3312,0.20717
total,day 21,SRSF10,-1.94,-0.017933
grna,day 5,DARS2,0.4198,-0.46693
total,day 5,EXOSC5,0.2997,0.28566
grna,day 13,MEPCE,-0.94349,-0.62519
total,day 13,ZMAT5,-0.89825,-0.16243
grna,day 21,ASCC3,-0.81693,-0.6554
total,day 21,NONO,-1.6418,-1.8055
total,day 5,TMA7,0.059836,-0.088839
total,day 21,SUGP1,-2.2111,-1.3967
total,day 5,TXNDC5,0.16853,0.15533
total,day 21,UPF3B,-1.4425,0.24182
grna,day 5,CISD2,-0.34987,-0.62772
total,day 5,TLR8,-0.19457,0.48161
grna,day 13,ANKRD17,-0.4201,0.74291
total,day 13,PELO,-0.33956,-0.95288
grna,day 21,SRSF10,-0.57719,-0.78891
grna,day 5,POLR2I,-0.36583,0.0721
total,day 5,CISD1,-0.13402,0.23637
total,day 13,GRWD1,-0.92828,0.11557
total,day 21,GPATCH1,-1.7882,-0.39856
total,day 5,PCDH20,0.12621,0.35577
grna,day 13,UBE2N,-0.031469,-1.8828
total,day 13,MRPL36,-1.0191,-0.93761
grna,day 5,TARBP2,-0.3154,-0.40758
total,day 5,DRG1,-0.064472,0.20395
grna,day 21,AFF4,-1.1691,-0.40544
grna,day 5,METTL1,0.17623,0.28481
total,day 5,ZFR2,-0.29086,0.12829
total,day 13,FAM98B,-1.2853,-1.1679
total,day 5,IGF2BP1,0.2077,0.37212
grna,day 13,EXOG,1.0815,-0.41985
grna,day 21,UNKL,-0.81652,-0.33878
grna,day 5,SRRM4,3.3765,-0.47329
total,day 5,UPF1,-0.019549,0.20017
grna,day 13,FADS2,-0.6155,1.0404
total,day 13,NMT1,-0.95769,-1.1701
grna,day 21,RNASE13,-0.58428,0.5697
total,day 21,SEPSECS,-1.5031,-1.8445
grna,day 5,P2RX7,-0.55002,-0.34041
total,day 5,PRKDC,0.075285,-0.43598
grna,day 13,MPHOSPH10,-0.28197,-1.102
grna,day 5,ATP5F1B,0.246,-0.18037
total,day 5,MRPS31,-0.0043547,0.018144
grna,day 13,LSM12,-0.70706,-0.91676
grna,day 21,CCT7,-0.81525,-0.90467
total,day 21,DDX1,-1.7739,-0.15952
grna,day 5,PPIE,-0.20053,-0.40226
grna,day 5,EZR,0.14826,-0.32067
grna,day 13,PRPF40A,0.081022,0.71155
total,day 13,PRPF40B,-1.1286,-0.20584
grna,day 5,PTBP3,0.545,0.60679
grna,day 13,UNKL,-0.80812,0.18689
total,day 13,ASS1,-0.90231,-0.81729
total,day 5,EEF2K,-0.040445,-0.0020449
grna,day 21,RPS19BP1,-0.92437,-0.9568
total,day 21,GRWD1,-1.5721,-0.85301
grna,day 21,EEF1E1,0.48043,-0.53579
total,day 21,WDR4,-1.5998000000000001,0.30463
grna,day 13,TRIT1,-0.32816,-0.32185
grna,day 21,NSF,-0.60633,-0.53665
grna,day 5,PLA2G1B,0.92077,-0.50759
total,day 5,CLK1,0.48337,0.12608
grna,day 13,CCDC59,1.2511,-0.62326
total,day 13,HNRNPA1L2,-1.1384,-0.71247
grna,day 21,TSEN54,-0.56612,-0.5351
grna,day 5,ZCRB1,0.80329,-0.20944
total,day 5,RPN1,-0.29363,-0.03699
grna,day 13,DDX19B,0.078746,1.6022
total,day 13,RPS19BP1,-0.86401,-0.83822
total,day 21,TECR,-1.3869,0.57087
total,day 5,BMS1,-0.045946,-0.31118
grna,day 13,MTIF2,-0.85217,0.38122
grna,day 21,KHDRBS1,-0.46998,-0.80317
grna,day 5,EIF1B,-0.21712,0.075403
total,day 5,ELAVL3,0.22529,-0.24005
grna,day 13,WDR4,-0.8489,0.60872
grna,day 21,MDH1,0.6113,2.0544
grna,day 5,RBM24,-0.1609,-0.56679
grna,day 13,EIF4ENIF1,0.41553,-0.42436
total,day 13,RPGR,0.86455,-0.80262
grna,day 5,CCDC59,-0.31987,1.1343
total,day 5,NOSIP,0.31638,0.33125
grna,day 21,TPT1,1.1245,0.060107
total,day 21,MRPS26,-0.89485,-2.5425
grna,day 5,ZNF326,-0.23056,-0.048864
total,day 13,NOL8,-0.47788,-1.3034
grna,day 21,PTMA,-0.62583,0.36294
total,day 21,REXO2,-1.1203,-0.81376
total,day 5,DBR1,0.11801,0.13391
grna,day 13,FLNB,-1.0914,0.1738
grna,day 21,CRYAB,-0.47799,0.75949
total,day 21,AIMP2,0.65398,-1.875
grna,day 13,CWF19L1,0.1055,-0.45236
total,day 13,RSRC2,-0.21092,-0.82562
grna,day 21,PUS7,-0.29337,0.67646
total,day 21,RPUSD2,-1.4043,0.072884
grna,day 5,EIF4A2,0.1644,-0.12444
total,day 5,PDLIM5,-0.088649,0.10292
grna,day 13,PTRH1,1.8148,-0.48846
grna,day 21,NXF5,-1.0646,0.24354
grna,day 5,TXNDC5,1.1877,-0.32838
total,day 5,APOBEC3F,0.0046062,0.84602
grna,day 21,MRPL16,-1.2986,0.026879
total,day 13,MSN,-1.9011,1.6965
grna,day 21,CAPRIN2,0.19303,0.10151
grna,day 21,EEF1D,-1.0379,0.24709
total,day 21,PNO1,-2.5242,-1.3462
grna,day 5,PRRC2A,-0.60667,0.57558
total,day 5,TDRD12,0.29279,0.30357
total,day 13,MRPL11,-1.1776,-1.0647
grna,day 21,INTS3,-0.58903,-0.88122
grna,day 5,EPRS1,-0.56288,0.84562
grna,day 13,RPGR,-1.242,-0.7548
grna,day 21,SEPTIN7,-1.2134,0.3342
grna,day 5,USP36,0.090051,0.55026
total,day 5,MRPS17,-0.44147,0.048502
grna,day 5,SEC61B,0.1569,0.058222
total,day 5,RNASE13,-0.2933,-0.13554
total,day 13,INTS10,-0.68713,-0.089919
grna,day 21,FASTKD2,-0.96433,-0.75547
total,day 21,RTF1,-1.969,-1.5387
grna,day 5,HMGB2,0.61296,0.44317
grna,day 13,PHRF1,0.40691,-0.5341
grna,day 21,CWC22,-0.62153,0.36806
total,day 21,PNN,-1.2957,-1.3376
grna,day 5,SIDT2,-0.38465,0.2561
total,day 5,LUC7L2,-0.22386,-0.153
grna,day 13,KHSRP,0.33178,-0.59482
grna,day 21,ENOX1,-0.28903,-0.63118
grna,day 5,ELOF1,-0.13695,0.16591
total,day 5,RBM25,-0.10318,-0.18091
grna,day 13,NRAP,0.62772,2.2282
total,day 13,USP10,-0.67316,-0.18174
total,day 21,H4C5,0.045058,1.4812
grna,day 5,GEMIN8,0.46453,-0.59381
grna,day 13,GOLGB1,0.33982,-0.36089
grna,day 21,LMF2,-1.6622,1.2945
total,day 5,CCDC47,0.21138,-0.17442
grna,day 13,TIPARP,-0.35027,0.45883
total,day 13,MRRF,-0.79052,0.48575
grna,day 5,CDK11B,-0.43164,-0.37513
total,day 5,SYNE1,0.51098,-0.27576
total,day 13,COA6,-0.55916,-0.94933
grna,day 21,GDI2,0.14728,-0.41162
total,day 21,KPNA2,-0.50438,-1.4703
grna,day 5,MRPL40,-0.37235,0.38099
total,day 21,TGS1,-0.40561,-2.6077
total,day 5,SRPRB,0.35569,0.021997
grna,day 13,PTPN12,-0.84706,1.77
grna,day 21,RNF113B,1.5283,0.27198
grna,day 5,SART3,-0.043669,-0.46457
grna,day 13,RPS4Y2,-0.57442,1.2966
grna,day 21,LSM14B,0.090992,-0.46929
total,day 5,HNRNPUL2,-0.09678,0.018152
grna,day 13,ELOF1,-0.67092,0.45693
total,day 13,TECR,-0.73625,0.63452
grna,day 21,TSEN15,-0.82364,-0.76316
total,day 21,RNASEH2A,-1.59,-2.0943
grna,day 5,UTP23,0.65524,0.55133
total,day 5,DDX42,-0.055968,0.61841
grna,day 21,RPL14,-0.96383,-1.8544
grna,day 5,GRWD1,0.78801,1.0171
total,day 5,SUB1,-0.39918,0.36663
grna,day 13,SUGP1,-1.2239,0.67683
grna,day 21,ANXA7,1.3764,-0.71147
total,day 21,EXOSC5,-2.5773,-1.7274
grna,day 5,RPS15A,-0.255,-0.0020194
total,day 13,CPNE3,1.0434,1.334
grna,day 21,DIMT1,-1.1992,-1.0788
grna,day 13,CLASP2,-0.64463,0.59266
grna,day 5,EIF3M,1.1038,-0.11933
total,day 5,PRKRA,-0.15507,0.44631
grna,day 13,CDC40,-0.7636,-0.18005
total,day 13,GNL1,1.2026,-0.7404
grna,day 21,S100A16,-0.39339,0.050489
grna,day 5,SPTBN5,-0.36316,0.7301
total,day 5,DBNL,0.038427,0.28906
grna,day 5,BICC1,0.48699,-0.57848
total,day 13,LARS1,0.82712,-1.8515
total,day 5,TMEM263,0.50025,0.15086
grna,day 13,CSN2,1.7426,-0.71037
grna,day 21,SRSF1,-0.29337,-0.82994
total,day 21,RRP36,-1.1437,-1.8537
total,day 5,CXXC5,0.24666,-0.0048856
grna,day 13,MTHFD1,-0.51313,0.36
grna,day 21,GTF2E2,0.94314,-0.85906
grna,day 5,HSP90AB1,0.24646,-0.22633
total,day 5,APOBEC2,-0.01098,-0.53477
grna,day 13,PRRC2A,-0.57492,-0.1272
total,day 21,IPO7,-1.5381,-1.2951
grna,day 5,FDXACB1,0.091451,-0.77458
total,day 13,PTGES3,-1.3028,1.1242
grna,day 21,CAVIN1,1.4741,-0.39048
grna,day 5,SMG9,-0.42638,-0.44961
total,day 5,HEATR6,-0.11719,-0.14865
grna,day 13,NUP93,-0.95015,-0.60159
total,day 13,TMSB4X,0.17493,-1.826
total,day 21,SRP72,-0.99861,-1.1399
grna,day 5,TLN1,-0.48147,0.38782
total,day 5,MYH14,0.75199,-0.075361
grna,day 13,EIF4E1B,-0.55631,2.2455
total,day 13,SSBP1,-1.1246,-1.1321
grna,day 21,SLC25A5,-0.24462,0.13399
grna,day 5,RPL36,0.3179,0.41464
total,day 5,VIRMA,0.041231,-0.12668
total,day 13,DDX1,-0.73596,-0.76488
grna,day 21,DDX4,-0.74793,0.3044
grna,day 5,POLRMT,-0.5282,0.40575
grna,day 13,KHNYN,-1.2056,0.73882
total,day 13,TTF2,-0.8801,-0.78824
grna,day 5,RPUSD2,0.30323,0.28584
total,day 13,GAR1,-0.79135,-0.19357
total,day 5,MAK16,-0.29407,-0.22077
grna,day 13,DHX38,-1.0909,-0.38766
total,day 13,IMMT,-0.61764,0.52211
grna,day 21,YRDC,-0.22622,-0.22494
total,day 21,API5,1.6889,-1.3436
grna,day 13,TARDBP,-0.51819,-0.47195
total,day 13,NARS2,-1.0233,-0.036668
total,day 21,TPT1,-1.0319,-1.4042
grna,day 5,PHRF1,0.27575,-0.35398
total,day 13,GPATCH1,-1.6725,-1.0752
total,day 21,PPHLN1,-0.28008,-2.3369
total,day 5,DAZL,-0.40283,0.031147
grna,day 13,GATB,-1.087,-0.66479
total,day 13,NSUN4,-0.028306,-0.71185
grna,day 21,CCDC43,-0.99307,1.1788
grna,day 5,MBNL2,1.2982,-0.43504
grna,day 13,TPT1,0.48431,-0.30363
grna,day 21,NSUN2,-0.036281,0.9429
grna,day 5,ERI3,-0.26497,0.3234
total,day 5,NKAP,-0.17605,0.093042
total,day 5,TRPT1,-0.02643,-0.15862
grna,day 13,DDX4,-0.4408,0.47287
grna,day 5,YTHDC2,0.65042,0.84579
total,day 5,AGO3,-0.2667,-0.37952
grna,day 21,R3HDM2,-1.3586,1.9502
total,day 21,H1-4,0.51447,-0.97284
grna,day 5,CRKL,-0.21513,0.18224
total,day 5,CCDC124,0.22046,0.076806
grna,day 21,ZNF326,0.023209,-0.51269
total,day 21,TSEN54,0.64688,-1.0654
total,day 5,SCAMP3,0.58215,-0.20188999999999999
grna,day 13,MRPS10,-0.34304,-0.71895
grna,day 5,REXO4,1.334,0.71474
total,day 5,MEX3B,0.50918,-0.051256
grna,day 13,PRRC2B,1.2288,-0.67061
total,day 13,EWSR1,-1.1166,-0.18898
total,day 21,SPEN,-1.6252,-0.67393
grna,day 5,TLE5,-0.22727,0.29682
total,day 5,SARNP,-0.33511,0.24146
grna,day 13,EIF5AL1,-0.1868,-0.40446
total,day 13,EIF4B,-0.5335,-1.0321
grna,day 21,MAPRE1,0.29676,0.54412
total,day 5,NQO1,-0.29507,-0.0026322
grna,day 13,CLK3,1.6469,-1.187
total,day 13,ALG13,-0.50105,-1.0375
grna,day 5,DIS3,-0.40191,0.46067
grna,day 13,SUCLG1,-1.187,1.5987
total,day 13,BLTP2,0.52627,-0.82454
total,day 21,ZCRB1,-1.3383,-1.8304
total,day 5,MBNL3,-0.085408,0.25681
grna,day 21,XIRP1,1.1985,0.38658
total,day 21,GEMIN6,-2.0275,-1.2866
total,day 5,PAN2,0.62544,0.057981
total,day 13,USB1,1.3675,-1.0298
grna,day 21,UTP25,-1.2176,0.13292
total,day 5,ADAT1,-0.23595,0.10849
grna,day 13,ZCCHC2,0.15098,-0.37868
total,day 13,SLBP,-0.54591,-0.79579
total,day 21,INTS9,-1.7402,-1.6828
grna,day 5,CPSF2,-0.50845,-0.17843
total,day 5,RO60,-0.04257,0.14184
grna,day 13,LUC7L2,-0.71129,-0.52798
grna,day 21,GPATCH1,-1.0619,-0.96175
grna,day 5,BRCA1,-0.94468,0.67373
total,day 5,CST6,-0.12953,-0.15991
grna,day 13,BASP1,0.83287,-0.1979
total,day 13,ANP32B,0.89534,-0.47109
grna,day 21,SART3,-0.55437,-0.53959
total,day 21,PRPF4B,-1.2202,0.44596
total,day 5,RBM46,0.08777,-0.039953
grna,day 13,TAF2,-0.91758,0.025908
grna,day 21,PUM3,-0.70261,1.9396
total,day 21,RBMX2,-0.64285,-1.7076
total,day 5,HDAC2,0.17764,0.286
grna,day 13,MSL3,1.9461,-0.023872
total,day 13,KPNA2,0.12326,-1.1331
grna,day 13,SCAF11,-1.018,0.95181
total,day 13,SMAD7,-1.0202,1.1916
grna,day 21,CIAO1,-0.97871,-0.83082
total,day 21,SLBP,-0.68571,-0.34984
total,day 5,TPD52L2,0.45481,0.14572
grna,day 13,CHD3,1.0363,1.1919
total,day 21,ESF1,-2.2224,-1.3492
grna,day 5,MKRN1,0.66124,-0.09522
total,day 5,RBM33,0.70399,0.27527
total,day 13,UBE2M,-1.1818,-1.4829
grna,day 5,LYAR,-0.027659,-0.62648
total,day 5,NCBP1,-0.080124,-0.14187
grna,day 13,METTL25B,1.4613,0.45788
total,day 13,CMTR1,-0.92978,-0.81683
total,day 21,NXF2,-0.91822,0.85861
grna,day 5,PSTK,0.65298,0.24091
grna,day 13,STX7,-1.0157,0.97668
grna,day 21,EEF1AKMT2,0.24997,0.69415
total,day 21,TSEN34,0.66243,-1.5157
grna,day 5,SLC25A11,-0.42743,0.16084
total,day 5,RPL36,-0.3586,-0.09428
grna,day 5,CNOT10,-0.27347,-0.2611
grna,day 5,SPTBN1,0.29635,0.0018414
total,day 5,PIN4,0.10988,-0.1507
grna,day 13,SBDS,0.072208,-0.47992
grna,day 5,MRPL18,-0.19075,-0.14727
grna,day 13,RBM42,-0.59603,-0.23223
grna,day 21,TNPO2,0.069551,1.4138
grna,day 5,DHX37,-0.2326,-0.64918
total,day 5,SPTBN1,0.078298,-0.35174
grna,day 13,ATXN2L,-0.61977,0.54749
total,day 13,ILF2,-0.90487,-0.11824
grna,day 21,WDR4,-0.78322,0.014731
total,day 21,RAMAC,-1.2771,-1.253
total,day 5,ALDH18A1,0.15479,0.43595
total,day 21,ELP1,-0.72561,-1.5972
grna,day 5,NCBP1,0.080659,-0.45415
total,day 5,MRPL4,-0.32397,0.24195
total,day 13,CTU1,0.14747,-0.70118
total,day 21,MRPL42,1.0092,-0.64855
grna,day 5,SF3B1,-0.55925,0.070148
total,day 5,DDX19B,-0.27877999999999997,0.12742
total,day 21,RBM42,-1.9381,1.5599
grna,day 5,RNH1,-0.47122000000000003,0.37121
total,day 5,MCRIP2,0.44179,0.022455
grna,day 13,TFB2M,-0.85936,-0.11971
