type,day,gene,A,B
grna,day 5,DDX52,1.4469,-2.0605
grna,day 13,RSL24D1,-2.8769,-3.0253
total,day 13,WDR3,-3.7495,-4.4194
grna,day 21,GTF3A,-2.284,-1.5545
total,day 21,CRNKL1,-3.9702,-3.2588
grna,day 5,C12ORF65,-1.2095,0.89905
total,day 5,PSMC4,-2.1371000000000002,-1.942
grna,day 13,CAT,0.59795,0.054565
total,day 13,GARS1,-4.0171,-3.7149
grna,day 21,NOP16,-2.7663,-1.0087
total,day 21,RPL32,-4.3788,-4.6348
grna,day 5,IARS2,-2.0438,-0.82175
grna,day 13,SNIP1,-3.2502,-1.5312
total,day 13,RPS29,-4.4525,-4.6759
grna,day 21,PRPF4,-1.2855,-2.2266
total,day 21,IARS2,-1.6763,-4.214
grna,day 5,NXF2B,-0.63747,0.43242
total,day 5,NBPF10,-2.2152,-1.0012
grna,day 13,XPO1,-2.264,-2.941
total,day 13,DDX20,-4.5775,-5.3959
grna,day 21,TRIT1,-2.5351,-3.5227
grna,day 5,EIF1,-2.0571,-0.61679
total,day 5,RPS19,-1.042,-0.7799
grna,day 13,FXR2,1.1196,0.77552
total,day 13,BUD23,-3.7581,-3.9527
grna,day 21,MRPL28,-3.5078,-2.2331
grna,day 5,EIF4A3,-0.76134,-2.6711
total,day 5,RPLP0,-1.1681,-1.3294
grna,day 13,RPL37,-2.6267,-3.5107
total,day 13,NSF,-4.146,-4.0901
grna,day 21,MTG1,-2.4266,-0.95785
total,day 21,UTP20,-4.1701,-1.1151
grna,day 5,MTDH,-0.27271,-1.7965
total,day 5,RPS27,-1.6046,-1.5673
grna,day 13,NGDN,-3.9105,-2.1323
total,day 13,RPS26,-4.2356,-4.5145
grna,day 21,RPP14,-3.5029,-1.7404
total,day 21,MRPL14,-1.6993,-3.7054
grna,day 5,PSMD7,-0.62654,-1.4635
total,day 5,POLR2I,-1.3078,-1.546
grna,day 13,MRPL20,-2.3142,-1.4513
total,day 13,RPS13,-5.534,-4.0662
grna,day 21,EARS2,-1.2763,-1.9671
total,day 21,INTS8,-2.6043,-3.7683
grna,day 5,POLR2D,-1.8147,-0.54712
total,day 5,RPS29,-1.3748,-1.0563
grna,day 13,EIF2B1,-3.0911,-0.6411
total,day 13,MARS1,-4.1893,-4.0535
grna,day 21,DDX60L,1.3209,3.0068
total,day 21,GNL3L,-3.7026,-2.8725
grna,day 5,HNRNPLL,0.87462,-2.5556
total,day 5,RPS3A,-1.2316,-2.3679
grna,day 13,PSMC1,-3.1939,-2.7437
total,day 13,CCT7,-4.9433,-3.9559
grna,day 21,PRPF38B,-1.8907,-1.355
total,day 21,WDR5,-2.6344,-3.7894
grna,day 5,ADAT2,0.49103,0.14019
grna,day 13,NUTF2,-2.3205,-3.4577
total,day 13,SUPT5H,-4.6628,-4.5613
grna,day 21,KARS1,-2.3353,-2.5435
total,day 21,RPL4,-3.9988,-1.8644
grna,day 5,PSMD6,-1.6247,-0.44195
total,day 5,RPS13,-1.5419,-1.6048
grna,day 13,PSMA1,-3.0536,-0.54861
total,day 13,CLP1,-3.9322,-5.0118
grna,day 21,NOL6,-0.89133,-2.1575
total,day 21,MARS1,-3.9776,-3.5856
grna,day 5,YARS1,0.0026585,-1.7703
total,day 5,RPL12,-1.9962,-2.0916
grna,day 13,AQR,-5.0905,-2.3014
total,day 13,NBPF10,-5.4232,-4.8717
grna,day 21,PSMC2,-1.6988,-2.3063
total,day 21,PPAN,-3.3461,-3.6903
grna,day 5,PDAP1,-0.46507,-2.4688
total,day 5,EIF2S1,-1.6183,-1.1875
grna,day 13,RPS20,-1.214,-3.3718
total,day 13,LSM7,-4.6529,-4.4878
grna,day 21,SFPQ,-1.9976,-3.3263
total,day 21,DIS3,-4.7321,-2.0947
grna,day 5,RAMAC,-0.046605,-2.3216
total,day 5,RPL6,-1.3205,-2.0172
grna,day 13,LSG1,-2.2226,-3.1213
total,day 13,PSMA4,-3.2981,-5.4905
grna,day 21,PSMD6,-2.2102,-2.0529
grna,day 5,RPL19,-1.451,-0.85066
total,day 5,RRM1,-1.1924,-1.439
grna,day 13,DBR1,-3.2333,-2.4634
total,day 13,FCF1,-3.4875,-3.9187
grna,day 21,RPL23A,-3.3449,-3.1269
total,day 21,NUTF2,-4.2384,-4.5489
grna,day 5,EIF4H,-0.65113,0.9124
total,day 5,RPLP2,-0.9672,-1.2796
grna,day 13,NIP7,-2.2788,-2.8775
total,day 13,RPL32,-5.4789,-4.8441
grna,day 21,CAT,0.47072,-0.72667
total,day 21,NOL6,-1.6481,-3.9148
grna,day 5,UTP11,-0.86462,-1.1606
total,day 5,SF3B5,-1.2068,-1.2757
grna,day 13,DDX20,-0.051952,-3.1453
total,day 13,SUPT6H,-4.3194,-4.3561
grna,day 21,RPL10A,-1.2283,-2.6599
total,day 21,MRPL43,-3.3659,-4.2385
grna,day 5,TXN,-0.60075,-2.3801
grna,day 13,WDR5,-0.46182,-3.1315
grna,day 21,UBE2I,-2.3739,0.24773
total,day 21,NUDT21,-3.8541,-3.816
grna,day 5,RPS16,-0.27848,-2.3803
total,day 5,RPL7,-1.621,-1.0729
grna,day 13,XRCC5,-3.0943,-1.6901
