treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness
heavy,mono,rep1,NFX1,0.17981,0.076475,0.024809,day13,0.73888,NA
heavy,mono,rep1,NFX1,0.17981,0.076475,0.024809,day5,-0.71274,0.435332
heavy,mono,rep1,SAP30BP,0.24891,1,0.024995,day13,-2.822,0.115942
heavy,mono,rep1,SAP30BP,0.24891,1,0.024995,day5,0.0072359,NA
heavy,mono,rep1,PAICS,0.17269,0.076475,0.025072,day13,0.78062,NA
heavy,mono,rep1,PAICS,0.17269,0.076475,0.025072,day5,0.43838,NA
heavy,mono,rep1,CWF19L2,0.15962,0.076475,0.025226,day13,-0.3445,NA
heavy,mono,rep1,CWF19L2,0.15962,0.076475,0.025226,day5,0.13663,NA
heavy,mono,rep1,DUSP14,0.17221,0.076475,0.025267,day13,0.80215,NA
heavy,mono,rep1,DUSP14,0.17221,0.076475,0.025267,day5,-0.012906,NA
heavy,mono,rep1,FKBP1A,0.1814,0.076475,0.025534,day13,-0.39814,0.450819
heavy,mono,rep1,FKBP1A,0.1814,0.076475,0.025534,day5,-0.53239,0.311972
heavy,mono,rep1,LSM4,0.21484,0.076475,0.025647,day13,-2.8001,0.06748
heavy,mono,rep1,LSM4,0.21484,0.076475,0.025647,day5,-0.57507,0.42116
heavy,mono,rep1,OLA1,0.10863,0.07686,0.026014,day13,0.70833,NA
heavy,mono,rep1,OLA1,0.10863,0.07686,0.026014,day5,-0.15845,0.50942
heavy,mono,rep1,EEF1A2,0.17089,0.07686,0.026245,day13,0.91275,NA
heavy,mono,rep1,EEF1A2,0.17089,0.07686,0.026245,day5,0.24058,NA
heavy,mono,rep1,LRRFIP1,0.13423,0.079611,0.027427,day13,1.676,NA
heavy,mono,rep1,LRRFIP1,0.13423,0.079611,0.027427,day5,0.1941,NA
heavy,mono,rep1,PRPF40A,0.26001,0.080646,0.028029,day13,-0.46221,NA
heavy,mono,rep1,PRPF40A,0.26001,0.080646,0.028029,day5,0.44625,NA
heavy,mono,rep1,LARP7,0.11704,1,0.028269,day13,-0.277,NA
