gene,day,lfc,essential,n
AIMP2,21,-0.91254,non-essential,1401
SETX,5,-0.19957,non-essential,1401
PRIM1,13,-3.4612,essential,785
RPL21,21,-3.0416,essential,785
EIF3B,5,-1.288,essential,785
EEF2,13,-2.2527,essential,785
BUD23,21,-2.9583,essential,785
RPS18,5,-1.3823,essential,785
MRPL43,13,-2.1014,essential,785
IMP4,21,-3.2051,essential,785
LUC7L2,5,-0.45654,non-essential,1401
RPL15,13,-3.5547,essential,785
RPL32,21,-3.1947,essential,785
RPL21,5,-0.84418,essential,785
RPL38,13,-2.2265,essential,785
SUPT5H,21,-3.4548,essential,785
URM1,5,-0.1204,essential,785
MRPL57,13,-3.0954,essential,785
RPLP0,21,-2.5436,essential,785
RUVBL1,5,-0.69654,essential,785
RPA1,13,-2.0928,essential,785
RRP12,21,-3.0735,essential,785
DARS1,5,-0.45922,essential,785
POLR2J3,13,-3.4308,non-essential,1401
CCT6A,21,-3.2597,essential,785
RANGRF,5,-0.60513,non-essential,1401
SF3B3,13,-2.8295,essential,785
EIF2B3,21,-2.9778,essential,785
CRNKL1,5,-0.4862,essential,785
NAPA,13,-1.9805,essential,785
DDX52,21,-2.4926,essential,785
RPL11,5,-1.3193,essential,785
SUPT6H,13,-3.4856,essential,785
CHERP,21,-1.2921,essential,785
CPSF7,5,-1.2814,non-essential,1401
AARS1,13,-3.3803,essential,785
EIF2B2,21,-2.0163,essential,785
RPL14,5,-3.5168,essential,785
NOP53,13,-3.4014,essential,785
MRPL20,21,-2.9154,non-essential,1401
THOC7,5,-1.0378,essential,785
EIF3I,13,-3.4775,essential,785
MRPL23,21,-3.4748,non-essential,1401
RBM39,5,-1.0297,essential,785
NOL10,13,-2.5624,essential,785
SFPQ,21,-3.3309,essential,785
LASP1,5,-0.94851,non-essential,1401
DGCR8,13,-3.1004,essential,785
DNMT1,21,-2.6185,essential,785
EIF3C,5,-1.0481,non-essential,1401
EIF2S3,13,-3.5754,essential,785
SON,21,-2.9732,essential,785
EXOSC8,5,-0.66525,essential,785
LSM6,13,-2.4584,essential,785
DDX59,21,-2.283,essential,785
RPS20,5,-0.97856,essential,785
NCBP1,13,-2.7199,essential,785
EEF1A1,21,-3.1567,essential,785
FBRSL1,5,0.045559,non-essential,1401
NAA15,13,-1.7712,essential,785
NOL6,21,-2.1736,essential,785
RBM34,5,-1.5226,non-essential,1401
UBA52,13,-4.1779,essential,785
NAA15,21,-1.4308,essential,785
ARCN1,5,-1.2108,essential,785
PSMC2,13,-3.4817,essential,785
NOL9,21,-2.5506,essential,785
RUVBL2,5,-0.82411,essential,785
ABCE1,13,-3.8087,essential,785
TUBA1B,21,-2.3617,essential,785
SETD1A,5,-0.44979,essential,785
RPS28,13,-4.0943,essential,785
ATP5F1A,21,-2.4418,essential,785
SUPT4H1,5,-0.93942,essential,785
SRP54,13,-2.346,essential,785
UTP6,21,-3.1497,essential,785
RC3H2,5,-0.34794,non-essential,1401
RPL17,13,-3.0208,essential,785
MRPS33,21,-1.9612,non-essential,1401
NUFIP2,5,-0.82867,non-essential,1401
NUDT21,13,-1.8755,essential,785
MRPS30,21,-1.9456,non-essential,1401
PSMD6,5,-0.83175,essential,785
DDX20,13,-2.4423,essential,785
EXOSC4,21,-2.1362,essential,785
TENT2,5,-0.23253,non-essential,1401
NOP14,13,-2.2055,essential,785
ATP5F1B,21,-2.7308,essential,785
KPNB1,5,-1.0124,essential,785
LSM4,13,-2.8001,essential,785
MRPL57,21,-2.8569,essential,785
RPS14,5,-1.4393,essential,785
IARS2,13,-3.4258,essential,785
YARS2,21,-2.2182,essential,785
UTP11,5,-0.96902,essential,785
RPS27A,13,-2.9882,essential,785
AKAP1,21,-1.7805,non-essential,1401
PRPF31,5,-1.1579,essential,785
RRP12,13,-3.4052,essential,785
RBM7,21,-0.12908,non-essential,1401
SLU7,5,-1.1481,essential,785
EIF4A3,13,-4.143,essential,785
MFAP1,21,-3.3232,essential,785
NIP7,5,0.1298,essential,785
CRNKL1,13,-3.3199,essential,785
PRPF4,21,-1.924,essential,785
ENOX1,5,-0.96243,non-essential,1401
RAE1,13,-3.6344,essential,785
EEF2,21,-1.9677,essential,785
HNRNPA0,5,-0.66434,non-essential,1401
CAT,13,0.60053,non-essential,1401
IARS2,21,-2.7106,essential,785
IARS2,5,-1.2366,essential,785
PSMC1,13,-2.8969,essential,785
RARS2,21,-2.0577,non-essential,1401
H4C12,5,-0.80896,non-essential,1401
SNRPG,13,-3.4749,essential,785
SNRPD1,21,-2.9524,essential,785
RPLP1,5,-0.98314,essential,785
CCT4,13,-1.8485,essential,785
VARS1,21,-3.1601,essential,785
RNASEK,5,-0.80681,non-essential,1401
UPF2,13,-2.2275,essential,785
SCAMP2,21,0.33911,non-essential,1401
NGDN,5,-0.25363,essential,785
SDAD1,13,-2.5854,essential,785
RPL24,21,-3.169,essential,785
AFF2,5,-1.2218,non-essential,1401
LONP1,13,-3.1423,essential,785
SNRNP25,21,-2.954,essential,785
XRCC5,5,-0.6378,essential,785
KARS1,13,-3.0948,essential,785
RPN1,21,-2.8754,essential,785
RBM26,5,-1.4722,non-essential,1401
LRPPRC,13,-1.9786,non-essential,1401
ELAC2,21,-2.4493,essential,785
DAZ4,5,-1.6194,non-essential,1401
RPL18A,13,-3.2125,essential,785
NHP2,21,-3.0633,essential,785
SERBP1,5,-0.90559,non-essential,1401
GTPBP4,13,-2.7181,essential,785
RPL6,21,-2.7959,essential,785
PUM2,5,-0.17473,non-essential,1401
SNIP1,13,-2.8054,essential,785
RPS25,21,-3.1937,essential,785
ISY1,5,-0.94823,essential,785
DDX41,13,-2.7627,essential,785
PABPC1,21,-3.1154,essential,785
CCT2,5,-0.82791,essential,785
CEBPZ,13,-3.3138,essential,785
MAT2A,21,-1.8481,essential,785
BLTP2,5,-1.0416,non-essential,1401
DNTTIP2,13,-1.8416,essential,785
FBL,21,-2.4721,essential,785
FXR2,5,-0.10443,non-essential,1401
ISG20L2,13,-2.5931,essential,785
DDX27,21,-2.7047,essential,785
RPS13,5,-1.0188,essential,785
INTS4,13,-3.4841,essential,785
NOC4L,21,-3.7038,essential,785
PCSK9,5,-0.46584,non-essential,1401
AIMP2,13,-0.6376,non-essential,1401
TSFM,21,-2.894,non-essential,1401
RPS4X,5,-1.2119,essential,785
NACA,13,-2.7188,essential,785
PHB1,21,-1.8292,essential,785
IPO7,5,-1.7188,essential,785
SNU13,13,-1.8857,essential,785
SRP54,21,-2.4509,essential,785
PSMB3,5,-1.0818,essential,785
EIF3E,13,-2.5054,essential,785
CAT,21,-0.10475,non-essential,1401
EIF4A1,5,-0.94058,essential,785
BRF1,13,-2.4305,essential,785
EIF2S3,21,-3.0691,essential,785
HSPE1,5,-1.2748,essential,785
RPL31,13,-3.2686,essential,785
EIF2S1,21,-2.7071,essential,785
WARS1,5,-0.74161,essential,785
UBTF,13,-2.5693,essential,785
CPSF6,21,-2.1522,essential,785
EARS2,5,-0.47032,non-essential,1401
SNRPB,13,-2.7211,essential,785
SF3B5,21,-2.1549,essential,785
PRPF40B,5,-0.68988,non-essential,1401
SMC1A,13,-2.103,essential,785
EIF3E,21,-1.7914,essential,785
FAU,5,-0.99568,essential,785
DDX3X,13,-3.1201,essential,785
DDX60L,21,1.3965,non-essential,1401
FBL,5,-0.87266,essential,785
RPL3,13,-2.9517,essential,785
CACTIN,21,-3.2165,essential,785
IGF2BP3,5,0.35238,non-essential,1401
ADAD1,13,-0.3629,non-essential,1401
GEMIN8,21,-2.4145,essential,785
URB1,5,-0.37055,essential,785
HEATR1,13,-3.2043,essential,785
DHX9,21,-2.8782,essential,785
XAB2,5,-0.86051,essential,785
KPNB1,13,-3.1231,essential,785
RRP7A,21,-3.3973,essential,785
CAT,5,-0.68321,non-essential,1401
EXOSC6,13,-1.6846,essential,785
RPS13,21,-2.1361,essential,785
SAP18,5,-1.0599,essential,785
RPP30,13,-2.0828,essential,785
RPL36A,21,0.38484,essential,785
GOLGA4,5,-1.0748,non-essential,1401
YARS1,13,-3.1248,essential,785
SRSF11,21,-2.9023,essential,785
MRPS30,5,-0.44761,non-essential,1401
SMG1,13,-1.5943,essential,785
XAB2,21,-2.8858,essential,785
YBX3,5,-1.2244,non-essential,1401
RPL8,13,-3.0048,essential,785
DHX15,21,-2.7116,essential,785
MTERF4,5,-0.91457,non-essential,1401
RPL12,13,-3.0515,essential,785
PRIM1,21,-2.8431,essential,785
RAN,5,-0.91027,essential,785
RPS8,13,-2.8758,essential,785
EIF3H,21,-2.0926,essential,785
PHF5A,5,-1.3948,essential,785
DDX10,13,-3.3352,essential,785
BRF1,21,-2.8116,essential,785
CPLX2,5,-0.83839,non-essential,1401
HNRNPK,13,-3.2253,essential,785
NOP14,21,-1.9529,essential,785
SF3A2,5,-0.52873,essential,785
MRPL49,13,-2.2216,essential,785
ABCE1,21,-3.2485,essential,785
RPS4Y1,5,0.085959,non-essential,1401
MRPS23,13,-3.0772,non-essential,1401
RPUSD4,21,-2.4264,non-essential,1401
RPL5,5,-1.0659,essential,785
MRPL44,13,-1.7119,non-essential,1401
SNIP1,21,-2.3284,essential,785
MRPL38,5,-0.46765,essential,785
CLP1,13,-2.3224,essential,785
NAPA,21,-2.4134,essential,785
NOS3,5,-1.3094,non-essential,1401
FARSA,13,-2.3402,essential,785
RRM1,21,-3.141,essential,785
SNTB2,5,0.088897,non-essential,1401
MARS1,13,-3.2087,essential,785
RPL17,21,-2.3062,essential,785
PDAP1,5,-1.386,essential,785
MYBBP1A,13,-3.511,essential,785
PRPF38B,21,-2.8793,essential,785
RPL37,5,-0.87656,essential,785
C12ORF43,13,0.55752,non-essential,1401
POLR2G,21,-2.7984,essential,785
SRSF11,5,-1.0032,essential,785
SCAMP2,13,-0.69788,non-essential,1401
RPF2,21,-1.7516,essential,785
RPS27A,5,-1.3325,essential,785
SRSF7,13,-3.3101,essential,785
C12ORF65,21,-0.8376,non-essential,1401
CPSF4L,5,-0.23692,non-essential,1401
CSTF1,13,-2.686,essential,785
NFS1,21,-2.8448,essential,785
DDX59,5,-0.65304,essential,785
RBM8A,13,-3.4119,essential,785
PSMC4,21,-1.6508,essential,785
LIMA1,5,-0.73534,non-essential,1401
PPIE,13,-2.2939,essential,785
MRPL39,21,-2.2136,non-essential,1401
DDX27,5,-0.99892,essential,785
PDCD7,13,-1.6398,essential,785
MRPS27,21,-2.4651,non-essential,1401
RANBP2,5,-0.2873,essential,785
MAT2A,13,-1.6575,essential,785
POLR2K,21,-3.5641,essential,785
PHB1,5,-0.89033,essential,785
BMS1,13,-1.9727,essential,785
LRPPRC,21,-1.7959,non-essential,1401
CEP43,5,-0.9574,non-essential,1401
UTP3,13,-3.6452,essential,785
COPS2,21,-2.6554,essential,785
RPL39,5,-0.87428,essential,785
CWC15,13,-2.9138,non-essential,1401
MRPL28,21,-3.5457,non-essential,1401
CDK9,5,-1.0071,essential,785
RPS19,13,-1.6697,essential,785
DHX8,21,-2.3297,essential,785
PUS7,5,-0.481,non-essential,1401
NSF,13,-1.7244,essential,785
SUPV3L1,21,-3.4472,essential,785
DDX60L,5,-0.16672,non-essential,1401
SART1,13,-2.2013,essential,785
PUF60,21,-3.0876,essential,785
EIF2D,5,-1.7595,non-essential,1401
RARS2,13,-2.3474,non-essential,1401
ARCN1,21,-2.7194,essential,785
DUT,5,0.065708,essential,785
RPL26,13,-2.6169,essential,785
EARS2,21,-2.2197,non-essential,1401
PDE12,5,-0.30024,non-essential,1401
DDX18,13,-1.4015,essential,785
WDR46,21,-2.4747,essential,785
NOM1,5,-0.52028,essential,785
UBC,13,-0.54292,non-essential,1401
DARS2,21,-2.9379,non-essential,1401
CCT6A,5,-0.92675,essential,785
RPF2,13,-2.2975,essential,785
GTPBP4,21,-2.0039,essential,785
NANOS3,5,-0.58604,non-essential,1401
TUT1,13,-3.9021,essential,785
SMC1A,21,-1.8422,essential,785
NAPA,5,-0.89337,essential,785
INTS3,13,-2.5643,essential,785
HMGA1,21,-1.5781,essential,785
GTF2E2,5,-1.0942,essential,785
POLR2L,13,-3.8558,essential,785
HARS1,21,-1.8349,essential,785
CNN3,5,-0.5975,non-essential,1401
POP7,13,-2.301,essential,785
C12ORF43,21,1.0988,non-essential,1401
POLR2J,5,-1.3723,non-essential,1401
NXF2B,13,-1.5092,non-essential,1401
RRP9,21,-2.2511,essential,785
RPL8,5,-0.68179,essential,785
ELAC2,13,-2.4678,essential,785
RPL36AL,21,-1.4005,essential,785
SNRNP70,5,-1.1656,essential,785
SF3B6,13,-2.9135,essential,785
DCAF13,21,-1.9773,non-essential,1401
SERGEF,5,-0.39731,non-essential,1401
CNOT1,13,-2.1766,essential,785
SYNCRIP,21,-1.7169,non-essential,1401
CAPRIN1,5,0.56039,non-essential,1401
WARS2,13,-2.1145,essential,785
MTERF4,21,-2.0917,non-essential,1401
MAT2A,5,-0.81022,essential,785
U2AF1,13,-3.8413,essential,785
YTHDC1,21,-2.0519,essential,785
FARSA,5,-1.3871,essential,785
LSM5,13,-3.8382,essential,785
SNRPB,21,-2.0068,essential,785
PSMD1,5,0.35383,essential,785
DDX21,13,-3.4598,essential,785
NSUN3,21,-2.0333,non-essential,1401
SART1,5,-0.30728,essential,785
TXN,13,-1.8357,essential,785
ZCCHC8,21,-1.35,non-essential,1401
NCBP2,5,-0.69664,essential,785
RAN,13,-2.4716,essential,785
RNMT,21,-2.1847,essential,785
DDX42,5,-0.21436,essential,785
INTS11,13,-2.6936,essential,785
CNOT3,21,-1.7924,essential,785
MRPL20,5,-0.84731,non-essential,1401
MRPL30,13,-2.8351,non-essential,1401
RNASEL,21,-1.0154,non-essential,1401
EIF5AL1,5,-0.43928,non-essential,1401
DDX52,13,-3.1809,essential,785
PHAX,21,-2.7679,essential,785
RPF1,5,-0.60699,essential,785
RPL7,13,-3.8162,essential,785
WDR33,21,-2.7202,essential,785
SNRPB,5,-0.98074,essential,785
RPL22,13,-2.8164,essential,785
NXF2B,21,0.056128,non-essential,1401
ENO1,5,-1.3842,non-essential,1401
ABT1,13,-2.3323,essential,785
MOCS3,21,-1.9975,essential,785
AFF3,5,-1.2994,non-essential,1401
RPS20,13,-3.2664,essential,785
SMG1,21,-1.8022,essential,785
DHX8,5,-0.78193,essential,785
DHX37,13,-1.9811,essential,785
RPL10,21,-2.0255,essential,785
ARL6IP4,5,-0.32644,non-essential,1401
CHERP,13,-1.1281,essential,785
SETD1A,21,-2.3228,essential,785
UPF3B,5,-0.69172,non-essential,1401
RPL18,13,-3.0804,essential,785
