sgrna,sample_name,rep1,rep2
RPS19_3_4,heavy,-1.6967,-1.6824
UBTF_2_3,heavy,-0.79504,-0.60238
RPL27_4_1,heavy,-4.2612,-5.0949
RAE1_4_1,heavy,-0.74181,-0.74734
RPL36_1_2,heavy,-1.5811,-1.7506
RAE1_2_3,heavy,-1.4596,-1.4818
NSA2_4_1,heavy,-2.1547,-2.451
NOP53_1_2,heavy,-1.8954,-2.066
RPS3_3_4,heavy,-1.8762,-1.7199
UBA52_4_1,heavy,-4.7485,-4.2785
RPS7_3_4,heavy,-1.6671,-1.641
RRS1_3_4,heavy,-0.92068,-0.83099
RPS28_4_1,heavy,-1.0963,-1.1226
POP7_2_3,heavy,-0.55342,-0.52371
RPS13_4_1,heavy,-2.4522,-2.8091
RPS15_4_1,heavy,-1.6127,-1.5899
WDR46_3_4,heavy,-1.2599,-1.1086
RPL7_3_4,heavy,-2.894,-3.1388
URB2_3_4,heavy,-1.0174,-1.0862
RPS16_3_4,heavy,-2.0306,-1.9881
RPF1_1_2,heavy,-0.96058,-0.82997
LYAR_4_1,heavy,-0.65342,-0.74065
PPAN_1_2,heavy,-2.1899,-1.8232
UTP3_3_4,heavy,-1.2056,-1.1744
RPS16_4_1,heavy,-1.4312,-1.1608
CCT2_2_3,heavy,-1.4104,-1.2178
RPS3A_4_1,heavy,-1.7907,-1.8
RPL10A_3_4,heavy,-1.1335,-1.3101
NOL8_3_4,heavy,-1.2366,-1.3074
RPL17-C18ORF32_3_4,heavy,-2.4987,-0.82226
RPS13_3_4,heavy,-1.0826,-0.88926
RPS23_2_3,heavy,-2.0183,-1.9505
IDH1_2_3,heavy,-1.1185,-1.325
NOP53_3_4,heavy,-2.0862,-2.1029
RPL31_1_2,heavy,-4.5152,-3.245
BYSL_3_4,heavy,-0.66382,-0.63676
EIF3CL_1_2,heavy,-1.1064,-1.1023
RPS20_2_3,heavy,-2.287,-2.5025
SRSF2_2_3,heavy,0.75139,0.54445
IMP4_4_1,heavy,-0.79984,-0.85709
NOP58_4_1,heavy,-1.5677,-1.5967
ASCC3_2_3,heavy,0.66078,0.46562
FAU_4_1,heavy,-2.0521,-2.3884
LAS1L_4_1,heavy,-1.2427,-1.2697
RRP1_2_3,heavy,-1.5732,-1.3488
FBL_3_4,heavy,-1.8052,-1.6041
ZNF622_1_2,heavy,-1.0384,-1.0954
NUP98_1_2,heavy,-1.4499,-1.4837
RPL26_2_3,heavy,-1.1598,-1.4756
RPSA_4_1,heavy,-2.0939,-2.172
ABCE1_4_1,heavy,-0.90154,-0.87411
RPL13A_3_4,heavy,-2.6336,-2.8664
RRP15_4_1,heavy,-1.4825,-1.5795
RPS16_2_3,heavy,-2.535,-2.9443
EIF3D_1_2,heavy,-0.71166,-0.66235
XPO1_1_2,heavy,-1.5592,-2.0845
RPS19_4_1,heavy,-0.99533,-1.0038
UBE2L3_4_1,heavy,-1.7454,-0.99161
POLR1G_2_3,heavy,-0.78283,-0.76124
NOC2L_1_2,heavy,-1.3715,-1.7778
EIF2B5_2_3,heavy,-1.2712,-1.1421
CCT3_3_4,heavy,-1.0645,-1.2004
NOC3L_4_1,heavy,-1.6549,-1.7678
UTP20_2_3,heavy,-0.84331,-0.75659
RPL36_3_4,heavy,-2.5932,-2.5719
NOP53_2_3,heavy,-1.7135,-1.6577
DDX56_1_2,heavy,-0.74136,-0.59272
NXF1_2_3,heavy,-0.93804,-0.98603
FBL_4_1,heavy,-1.453,-1.6677
NCBP1_2_3,heavy,0.5051,0.37269
RPL17-C18ORF32_4_1,heavy,-1.9789,-2.1101
EIF4A1_4_1,heavy,-1.4572,-1.154
CCT4_3_4,heavy,-0.77629,-1.0639
RPS9_1_2,heavy,-1.9313,-1.7479
MTREX_1_2,heavy,-0.7008,-0.5906
NIFK_4_1,heavy,-3.3952,-4.6365
RPS13_1_2,heavy,-2.2354,-2.1209
NCL_1_2,heavy,-1.4724,-1.5616
CCT6A_4_1,heavy,-1.615,-1.4046
UTP4_1_2,heavy,-1.3928,-1.3966
RPL15_1_2,heavy,-0.65096,-0.61618
RPL6_3_4,heavy,-2.4082,-2.3304
ASCC3_1_2,heavy,0.68255999999999994,0.47565
DDX18_1_2,heavy,-0.9611,-0.98015
N4BP2_2_3,heavy,-0.55219,-0.49036
RPLP2_3_4,heavy,-2.4546,-2.1841
NCL_3_4,heavy,-1.0865,-1.1936
EIF5A_2_3,heavy,1.0746,1.1584
MRTO4_4_1,heavy,-0.99511,-0.74782
NOL12_4_1,heavy,-0.47423,-0.5159
MPHOSPH6_2_3,heavy,-1.7649,-1.6085
EIF4G1_1_2,heavy,-0.48722,-0.47312
ARF1_3_4,heavy,-1.1911,-1.1772
IPO5_2_3,heavy,-0.96817,-0.86102
RPS23_1_2,heavy,-1.1901,-1.3724
BRF1_2_3,heavy,-0.80719,-0.81434
RPS28_1_2,heavy,-1.6057,-1.9181
EIF3G_2_3,heavy,-0.99763,-1.0363
RPS7_4_1,heavy,-1.5025,-1.3619
RPS15A_3_4,heavy,-1.3038,-1.1269
DHX37_4_1,heavy,-0.85202,-0.63532
RPS12_3_4,heavy,-2.0461,-1.5196
C9ORF114_3_4,heavy,-1.5234,-0.76307
C9ORF114_2_3,heavy,-0.97885,-1.0255
NXF1_3_4,heavy,-1.3333,-1.4699
UTP3_2_3,heavy,-1.274,-1.2951
CEBPZ_3_4,heavy,-3.0301,-2.5724
RAE1_1_2,heavy,-0.98252,-0.93351
POLR1G_4_1,heavy,-0.89906,-0.80105
DDX47_4_1,heavy,-1.792,-0.83981
DDX10_2_3,heavy,-1.168,-1.0915
RPL26_3_4,heavy,-2.7995,-2.3277
RPS6_4_1,heavy,-1.2385,-1.2894
RPS3_4_1,heavy,-1.1946,-1.1489
CCT2_1_2,heavy,-0.75075,-0.77096
NOP14_1_2,heavy,-0.62443,-0.4974
NIFK_1_2,heavy,-1.1105,-1.4536
NOP2_2_3,heavy,-2.2086,-1.7109
DHX37_1_2,heavy,-1.2924,-0.77311
ASCC3_3_4,heavy,0.57518,0.38196
RPL17-C18ORF32_2_3,heavy,-4.1265,-3.7077
RPL27A_2_3,heavy,-4.1265,-4.4582
METAP2_4_1,heavy,0.46292,0.33771
NOP14_3_4,heavy,-1.018,-0.80876
CWC27_3_4,heavy,-1.4148,-1.6193
ISG20L2_3_4,heavy,-1.802,-1.9274
WDR5_1_2,heavy,-0.59801,-0.48862
