gene,day,lfc,essential,n
ANGEL1,13,0.7733,non-essential,1401
ANGEL1,5,0.36591,non-essential,1401
ANGEL1,21,1.2908,non-essential,1401
ANGEL2,5,0.14657,non-essential,1401
ANGEL2,21,1.2657,non-essential,1401
ANGEL2,13,0.75106,non-essential,1401
ANK3,13,1.3244,non-essential,1401
ANK3,5,0.33134,non-essential,1401
ANK3,21,2.1686,non-essential,1401
ANKHD1,13,1.2361,non-essential,1401
ANKHD1,21,1.67,non-essential,1401
ANKHD1,5,0.30759,non-essential,1401
ANKRD17,21,0.73187,non-essential,1401
ANKRD17,5,9.3468e-4,non-essential,1401
ANKRD17,13,0.35381,non-essential,1401
ANP32A,21,1.2737,non-essential,1401
ANP32A,13,0.95591,non-essential,1401
ANP32A,5,0.19615,non-essential,1401
ANP32B,5,0.15434,non-essential,1401
ANP32B,13,0.89576,non-essential,1401
ANP32B,21,1.3405,non-essential,1401
ANXA11,5,-0.38787,non-essential,1401
ANXA11,21,0.087461,non-essential,1401
ANXA11,13,-0.17579,non-essential,1401
ANXA2,5,-0.19236,non-essential,1401
ANXA2,13,0.012052,non-essential,1401
ANXA2,21,0.26677,non-essential,1401
ANXA7,5,0.37015,non-essential,1401
ANXA7,13,0.92369,non-essential,1401
ANXA7,21,1.6365,non-essential,1401
APEH,5,-0.012371,non-essential,1401
APEH,13,0.62324,non-essential,1401
APEH,21,1.4383,non-essential,1401
APEX1,5,0.034217,non-essential,1401
APEX1,13,0.58804,non-essential,1401
APEX1,21,0.73961,non-essential,1401
API5,21,0.81382,non-essential,1401
API5,13,0.94392,non-essential,1401
API5,5,0.19301,non-essential,1401
APOB,5,0.11309,non-essential,1401
APOB,21,1.878,non-essential,1401
APOB,13,1.1706,non-essential,1401
APOBEC1,5,-0.26023,non-essential,1401
APOBEC1,13,0.5043,non-essential,1401
APOBEC1,21,0.7065,non-essential,1401
APOBEC2,5,-0.11316,non-essential,1401
APOBEC2,13,0.54839,non-essential,1401
APOBEC2,21,1.301,non-essential,1401
APOBEC3A,5,-0.50154,non-essential,1401
APOBEC3A,13,0.75568,non-essential,1401
APOBEC3A,21,1.1155,non-essential,1401
APOBEC3B,5,0.27344,non-essential,1401
APOBEC3B,13,1.4198,non-essential,1401
APOBEC3B,21,2.1541,non-essential,1401
APOBEC3C,5,-0.04392,non-essential,1401
APOBEC3C,13,0.83017,non-essential,1401
APOBEC3C,21,1.2133,non-essential,1401
APOBEC3D,13,1.5721,non-essential,1401
APOBEC3D,5,0.16039,non-essential,1401
APOBEC3D,21,2.3835,non-essential,1401
APOBEC3F,13,1.9876,non-essential,1401
APOBEC3F,21,2.9062,non-essential,1401
APOBEC3F,5,0.5357,non-essential,1401
APOBEC3G,5,0.16299,non-essential,1401
APOBEC3G,13,1.0926,non-essential,1401
APOBEC3G,21,1.41,non-essential,1401
APOBEC3H,13,0.31717,non-essential,1401
APOBEC3H,5,0.12303,non-essential,1401
APOBEC3H,21,0.51258,non-essential,1401
APOBEC4,5,0.033471,non-essential,1401
APOBEC4,21,1.6928,non-essential,1401
APOBEC4,13,1.077,non-essential,1401
APTX,21,0.65025,non-essential,1401
APTX,5,0.16349,non-essential,1401
APTX,13,0.59869000000000006,non-essential,1401
AQR,13,-5.8214,essential,785
AQR,5,-0.98122,essential,785
AQR,21,-5.0708,essential,785
ARC,5,0.25385,non-essential,1401
ARC,21,2.4592,non-essential,1401
ARC,13,1.6515,non-essential,1401
ARCN1,5,-1.9112,essential,785
ARCN1,21,-4.7685,essential,785
ARCN1,13,-4.806,essential,785
ARF1,5,-0.54488,non-essential,1401
ARF1,13,-1.1265,non-essential,1401
ARF1,21,-0.42102,non-essential,1401
ARHGEF1,21,1.2626,non-essential,1401
ARHGEF1,13,0.76612,non-essential,1401
ARHGEF1,5,0.1171,non-essential,1401
ARHGEF2,5,-0.12477,non-essential,1401
ARHGEF2,13,0.76462,non-essential,1401
ARHGEF2,21,1.5399,non-essential,1401
ARHGEF28,5,-0.094238,non-essential,1401
ARHGEF28,13,0.40631,non-essential,1401
ARHGEF28,21,0.7824,non-essential,1401
ARL6IP4,5,3.5316e-4,non-essential,1401
ARL6IP4,13,0.91593,non-essential,1401
ARL6IP4,21,1.6106,non-essential,1401
ARPC1B,5,0.054431,non-essential,1401
ARPC1B,13,0.7243,non-essential,1401
ARPC1B,21,1.3504,non-essential,1401
ASCC1,5,0.18818,non-essential,1401
ASCC1,13,0.65855,non-essential,1401
ASCC1,21,1.0199,non-essential,1401
ASCC3,21,-1.6877,non-essential,1401
ASCC3,13,-0.30793,non-essential,1401
ASCC3,5,0.32663,non-essential,1401
ASH1L,5,-0.99361,non-essential,1401
ASH1L,13,0.047934,non-essential,1401
ASH1L,21,0.815,non-essential,1401
ASS1,5,-0.43698,non-essential,1401
ASS1,13,-0.61912,non-essential,1401
ASS1,21,-1.4237,non-essential,1401
ATP1A1,21,-1.4256,non-essential,1401
