sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,WDR46,4,0.0024647,0.008943,0.017174,226,3,0.98759,0.98764,NA,1892,0,-0.71252,0.008943,0.017174,3,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS5,2,0.012043,0.022318,NA,312,2,0.98796,0.98799,NA,1893,0,-1.9251,0.022318,1,2,3 40S ribosome,notsig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MRTO4,4,0.0037152,0.01325,0.02273,252,4,0.99019,0.99025,NA,1904,0,-0.89561,0.01325,0.02273,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TBL3,4,0.0076254,0.025783,0.037803,294,4,0.99237,0.99231,NA,1910,0,-0.53235,0.025783,0.037803,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PWP2,4,0.0027569,0.0099576,0.018312,234,4,0.9926,0.99258,NA,1911,0,-0.82046,0.0099576,0.018312,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZNHIT6,4,0.0070732,0.024139,0.036001,289,4,0.99293,0.993,NA,1914,0,-0.3959,0.024139,0.036001,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TSR1,4,0.0025333,0.0091876,0.017262,230,4,0.99301,0.99309,NA,1915,0,-0.59335,0.0091876,0.017262,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SRFBP1,4,0.0069879,0.023862,0.035835,287,4,0.99301,0.99309,NA,1916,0,-0.33392,0.023862,0.035835,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS28,3,0.0062003,0.017123,0.027524,277,3,0.99341,0.99363,NA,1919,0,-1.0963,0.017123,0.027524,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RRP7A,4,0.0064978,0.022191,0.034023,280,4,0.9935,0.99364,NA,1922,0,-0.4817,0.022191,0.034023,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NAT10,4,0.004213,0.014845,0.024541,261,4,0.99579,0.99594,NA,1940,0,-0.41706,0.014845,0.024541,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NOB1,4,0.0039191,0.013853,0.023485,255,4,0.99608,0.99618,NA,1946,0,-0.38949,0.013853,0.023485,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,FCF1,4,0.0036686,0.013096,0.022555,251,4,0.99633,0.99642,NA,1949,0,-0.56318,0.013096,0.022555,4,1 40S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RPS3A,3,0.0036512,0.010347,0.018789,250,3,0.99635,0.99656,NA,1950,0,-1.7907,0.010347,0.018789,3,3 40S ribosome,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZNF622,4,0.0033579,0.012068,0.021119,245,4,0.99664,0.99675,NA,1956,0,-0.70397,0.012068,0.021119,4,2 60S biogenesis,sig
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,RRP15,3,0.0032275,0.0091786,0.017262,242,3,0.99677,0.99703,NA,1959,0,-1.4825,0.0091786,0.017262,3,2 60S biogenesis,sig
