sample_name,treatment,control,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,day,isoform,sig
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B1,4,0.99921,0.99929,NA,2171,0,6.8319e-5,2.4685e-4,0.010923,8,4,1.4523,5,i1_retained,2
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B3,3,0.95633,0.95694,NA,2077,0,5.6573e-5,2.2873e-4,1,9,2,4.6827,5,e2_skipped,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,AQR,4,0.99933,0.99937,NA,2182,0,5.3863e-4,0.0020993,0.090297,10,4,1.1189,3,i1_retained,1
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B3,3,0.99997,0.99998,NA,2180,0,8.5664e-6,3.8499e-5,0.001528,10,3,5.5126,7,e2_skipped,2
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B7,4,0.9996,0.99962,NA,2176,0,3.9563e-4,0.0015875,0.036212,17,4,1.5016,7,e2_skipped,2
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B5,4,0.93601,0.9361,NA,2031,0,0.0021306,0.0077383,0.144804,29,3,0.95007,3,i1_retained,1
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B7,4,0.3187,0.53697,NA,1151,2,0.0043995,0.011987,1,34,1,-0.67426,5,e2_skipped,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B7,4,0.9999,0.99992,NA,2152,0,9.6733e-5,3.5102e-4,0.003055,44,4,1.2426,7,i2_retained,2
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B6,4,0.99569,0.99586,NA,2134,0,6.8138e-4,0.002593,0.018839,49,4,1.1309,5,i2_retained,2
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B6,4,0.9974,0.99747,NA,2128,0,2.7282e-4,0.0011436,0.008264,54,4,1.0709,7,i2_retained,2
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B2,4,0.99065,0.99064,NA,2088,0,7.9357e-4,0.0030006,0.018304,62,4,1.1181,7,i1_retained,2
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B7,4,0.6574,0.78863,NA,1739,2,0.0080587,0.027196,1,63,2,2.0259,1,e2_skipped,1
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B4,4,0.99345,0.99361,NA,2159,0,0.0065464,0.0224,0.126152,67,4,0.86282,5,i1_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B6,4,0.11197,0.23521,NA,541,2,0.0076039,0.025738,1,70,2,-0.16785,3,i2_retained,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B4,4,0.93998,0.9401,NA,2058,0,0.0098352,0.032722,0.211338,72,3,2.05,3,e2_skipped,1
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B2,4,0.87443,0.87397,NA,1893,0,0.0072865,0.02475,0.13077,75,3,0.90917,5,i1_retained,1
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B3,3,0.99229,0.9925,NA,2152,0,0.0077126,0.021199,0.126038,79,3,1.0266,5,i1_retained,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B5,4,0.99529,0.99546,NA,2131,0,0.0047085,0.016502,0.075319,80,4,0.43481,5,i2_retained,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B5,4,0.99805,0.99814,NA,2140,0,0.0019519,0.0071585,0.033165,83,4,1.1272,7,i1_retained,2
ntc_day5_bc1_e2_skipped_vs_ntc_day5_bc1_total,ntc_day5_bc1_e2_skipped,ntc_day5_bc1_total,SF3B4,4,0.68244,0.809,NA,1747,2,0.024004,0.046681,1,93,2,1.0401,5,e2_skipped,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,AQR,4,0.9865,0.98654,NA,2153,0,0.013504,0.044068,0.187511,95,4,0.16643,1,i2_retained,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B1,4,0.96903,0.96929,NA,2013,0,0.0068601,0.023432,0.064483,138,3,0.94459,7,i1_retained,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B4,4,0.72435,0.74034,NA,1566,1,0.01743,0.055939,0.142045,147,3,0.4858,5,i2_retained,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B7,4,0.90697,0.90733,NA,1941,0,0.018347,0.058439,0.144474,155,3,0.47291,5,i2_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B6,4,0.44328,0.59034,NA,1297,1,0.023557,0.069848,1,157,2,0.068722,1,i2_retained,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,AQR,4,0.94235,0.94241,NA,2057,0,0.021549,0.068372,1,165,2,2.7106,1,e2_skipped,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B2,4,0.87654,0.87611000000000006,NA,1912,0,0.023963,0.074572,0.238391,165,3,0.46438,1,i1_retained,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B7,4,0.57184,0.65187,NA,1373,1,0.013042,0.042645,0.094485,174,3,0.76571,7,i1_retained,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B3,3,0.32369,0.46602,NA,1026,1,0.024588,0.062339,1,187,1,-0.049935,3,i1_retained,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B6,4,0.67988,0.73138,NA,1609,1,0.0354,0.098007,0.238391,222,3,0.70947,1,i1_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B7,4,0.91989,0.92012,NA,1981,0,0.051405,0.12712,1,252,2,0.3131,3,i2_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B5,4,0.82089,0.82036,NA,1772,1,0.051516,0.12737,1,253,2,0.17535,3,i2_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B4,4,0.94012,0.94022,NA,2031,0,0.054538,0.13331,1,270,2,0.18607,3,i2_retained,1
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,AQR,4,0.52223,0.65431,NA,1402,1,0.07403,0.17197,1,344,2,0.48906,7,e2_skipped,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B5,4,0.89424,0.89469,NA,1927,0,0.077422,0.17494,1,378,2,0.14528,1,i2_retained,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B3,3,0.60735,0.62505,NA,1416,1,0.097465,0.18166,1,417,2,0.83945,7,i1_retained,1
ntc_day7_dmso_bc1_e2_skipped_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_e2_skipped,ntc_day7_dmso_bc1_total,SF3B6,4,0.028834,0.083816,NA,188,1,0.098525,0.21442,1,447,2,0.31788,7,e2_skipped,1
ntc_day1_bc1_i1_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i1_retained,ntc_day1_bc1_total,SF3B4,4,0.051835,0.12996,NA,284,1,0.10199,0.21955,1,511,2,0.54747,1,i1_retained,1
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B7,4,0.66693,0.71632,NA,1522,1,0.12308,0.25475,1,512,2,0.57181,5,i1_retained,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B6,4,0.49851,0.66797,NA,1483,2,0.136,0.27652,1,587,2,1.6254,1,e2_skipped,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B4,4,0.40768,0.55367,NA,1178,2,0.18119,0.32537,1,618,1,-0.32438,7,i1_retained,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B4,4,0.85254,0.85208,NA,1847,1,0.14063,0.28444,1,625,2,0.56846,3,i1_retained,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B2,4,0.7107,0.73487,NA,1568,1,0.15141,0.30187,0.303287,627,3,0.16961,3,i2_retained,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B2,4,0.30541,0.44945,NA,967,2,0.21855,0.3663,1,691,2,-0.087354,7,i2_retained,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B2,4,0.19366,0.33341,NA,707,1,0.21337,0.35855,1,699,2,0.098086,5,i2_retained,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B3,3,0.68114,0.71483,NA,1675,1,0.19361,0.30775,1,767,2,1.2092,3,e2_skipped,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B7,4,0.5169,0.6685,NA,1448,1,0.19762,0.35066,1,778,2,0.51113,3,e2_skipped,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B4,4,0.26814,0.47581,0.522813,1020,3,0.21151,0.36949,1,792,1,-0.53499,1,e2_skipped,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B5,4,0.84557,0.85703,NA,1857,1,0.21328,0.36591,1,818,2,0.89574,3,e2_skipped,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B5,4,0.8874,0.89797,NA,1963,1,0.23747,0.39438,1,846,2,1.7022,1,e2_skipped,1
ntc_day3_bc1_i2_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i2_retained,ntc_day3_bc1_total,SF3B3,3,0.45919,0.52754,NA,1293,1,0.26396,0.39425,1,854,1,0.021052,3,i2_retained,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B4,4,0.44557,0.59257,NA,1246,2,0.32429,0.4715,1,897,2,-0.141,7,i2_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B1,4,0.63784,0.69298,NA,1519,1,0.29046,0.43702,1,952,1,-0.054672,1,i2_retained,1
ntc_day7_dmso_bc1_i1_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i1_retained,ntc_day7_dmso_bc1_total,SF3B6,4,0.34153,0.48554,NA,1044,2,0.37014,0.51643,1,983,2,-2.3063e-4,7,i1_retained,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B7,4,0.48945,0.63638,NA,1378,1,0.3802,0.53312,1,1136,2,0.25637,3,i1_retained,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B3,3,0.44729,0.51411,NA,1246,1,0.43524,0.51398,1,1168,1,0.11082,5,i2_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B4,4,0.18792,0.3328,NA,742,1,0.39725,0.54422,1,1180,2,0.012817,1,i2_retained,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B1,4,0.80171,0.80229,NA,1677,1,0.48301,0.62495,1,1220,1,-0.073204,7,i2_retained,1
ntc_day3_bc1_e2_skipped_vs_ntc_day3_bc1_total,ntc_day3_bc1_e2_skipped,ntc_day3_bc1_total,SF3B2,4,0.49676,0.65114,NA,1411,2,0.44706,0.59511,1,1290,2,-0.44568,3,e2_skipped,1
ntc_day5_bc1_i2_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i2_retained,ntc_day5_bc1_total,SF3B1,4,0.8095,0.80889,NA,1723,1,0.52924,0.64006,1,1304,1,-0.071226,5,i2_retained,1
ntc_day1_bc1_i2_retained_vs_ntc_day1_bc1_total,ntc_day1_bc1_i2_retained,ntc_day1_bc1_total,SF3B3,3,0.22117,0.34051,NA,810,2,0.492,0.54997,1,1354,1,-0.22579,1,i2_retained,1
ntc_day3_bc1_i1_retained_vs_ntc_day3_bc1_total,ntc_day3_bc1_i1_retained,ntc_day3_bc1_total,SF3B1,4,0.030565,0.087318,0.243004,190,3,0.49001,0.63738,1,1369,1,-1.0544,3,i1_retained,1
ntc_day7_dmso_bc1_i2_retained_vs_ntc_day7_dmso_bc1_total,ntc_day7_dmso_bc1_i2_retained,ntc_day7_dmso_bc1_total,SF3B3,3,0.30688,0.43669,NA,971,1,0.65498,0.66698,1,1407,1,0.030198,7,i2_retained,1
ntc_day5_bc1_i1_retained_vs_ntc_day5_bc1_total,ntc_day5_bc1_i1_retained,ntc_day5_bc1_total,SF3B6,4,0.13561,0.27559,0.301653,608,3,0.54365,0.66334,1,1409,1,-0.57846,5,i1_retained,1
ntc_day1_bc1_e2_skipped_vs_ntc_day1_bc1_total,ntc_day1_bc1_e2_skipped,ntc_day1_bc1_total,SF3B3,3,0.7009,0.7495,NA,1790,1,0.53076,0.58682,1,1444,1,0.73714,1,e2_skipped,1
