sample_name,insert_num,umi_count,type
ntc_day1_bc1_grna,286,216,gDNA
ntc_day1_bc1_grna,287,392,gDNA
ntc_day1_bc1_grna,288,78,gDNA
ntc_day1_bc1_grna,289,638,gDNA
ntc_day1_bc1_grna,290,666,gDNA
ntc_day1_bc1_grna,291,446,gDNA
ntc_day1_bc1_grna,292,247,gDNA
ntc_day1_bc1_grna,293,1267,gDNA
ntc_day1_bc1_grna,294,860,gDNA
ntc_day1_bc1_grna,295,332,gDNA
ntc_day1_bc1_grna,296,64,gDNA
ntc_day1_bc1_grna,297,1047,gDNA
ntc_day1_bc1_grna,298,392,gDNA
ntc_day1_bc1_grna,299,2349,gDNA
ntc_day1_bc1_grna,300,295,gDNA
ntc_day1_bc1_grna,301,147,gDNA
ntc_day1_bc1_grna,302,294,gDNA
ntc_day1_bc1_grna,303,243,gDNA
ntc_day1_bc1_grna,304,1426,gDNA
ntc_day1_bc1_grna,305,533,gDNA
ntc_day1_bc1_grna,306,203,gDNA
ntc_day1_bc1_grna,307,787,gDNA
ntc_day1_bc1_grna,308,197,gDNA
ntc_day1_bc1_grna,309,195,gDNA
ntc_day1_bc1_grna,310,197,gDNA
ntc_day1_bc1_grna,311,189,gDNA
ntc_day1_bc1_grna,312,828,gDNA
ntc_day1_bc1_grna,313,212,gDNA
ntc_day1_bc1_grna,314,62,gDNA
ntc_day1_bc1_grna,315,217,gDNA
ntc_day1_bc1_grna,316,15,gDNA
ntc_day1_bc1_grna,317,123,gDNA
ntc_day1_bc1_grna,318,310,gDNA
ntc_day1_bc1_grna,319,1770,gDNA
ntc_day1_bc1_grna,320,409,gDNA
ntc_day1_bc1_grna,321,582,gDNA
ntc_day1_bc1_grna,322,471,gDNA
ntc_day1_bc1_grna,323,940,gDNA
ntc_day1_bc1_grna,324,305,gDNA
ntc_day1_bc1_grna,325,26,gDNA
ntc_day1_bc1_grna,326,95,gDNA
ntc_day1_bc1_grna,327,394,gDNA
ntc_day1_bc1_grna,328,891,gDNA
ntc_day1_bc1_grna,329,358,gDNA
ntc_day1_bc1_grna,330,7,gDNA
ntc_day1_bc1_grna,331,52,gDNA
ntc_day1_bc1_grna,332,1369,gDNA
ntc_day1_bc1_grna,333,1106,gDNA
ntc_day1_bc1_grna,334,433,gDNA
ntc_day1_bc1_grna,335,215,gDNA
ntc_day1_bc1_grna,336,403,gDNA
ntc_day1_bc1_grna,337,921,gDNA
ntc_day1_bc1_grna,338,199,gDNA
ntc_day1_bc1_grna,339,1106,gDNA
ntc_day1_bc1_grna,340,67,gDNA
ntc_day1_bc1_grna,341,403,gDNA
ntc_day1_bc1_grna,342,281714,gDNA
ntc_day1_bc1_grna,343,220,gDNA
ntc_day1_bc1_grna,344,422,gDNA
ntc_day1_bc1_grna,345,74,gDNA
ntc_day1_bc1_grna,346,706,gDNA
ntc_day1_bc1_grna,347,277,gDNA
ntc_day1_bc1_grna,348,892,gDNA
ntc_day1_bc1_grna,349,565,gDNA
ntc_day1_bc1_grna,350,136,gDNA
ntc_day1_bc1_grna,351,387,gDNA
ntc_day1_bc1_grna,352,110,gDNA
ntc_day1_bc1_grna,353,239806,gDNA
ntc_day1_bc1_grna,354,88,gDNA
ntc_day1_bc1_grna,355,231,gDNA
ntc_day1_bc1_grna,356,59,gDNA
ntc_day1_bc1_grna,357,668,gDNA
ntc_day1_bc1_grna,358,1554,gDNA
ntc_day1_bc1_grna,359,376,gDNA
ntc_day1_bc1_grna,360,1306,gDNA
ntc_day1_bc1_grna,361,39,gDNA
ntc_day1_bc1_grna,362,459,gDNA
ntc_day1_bc1_grna,363,240,gDNA
ntc_day1_bc1_grna,364,49,gDNA
ntc_day1_bc1_grna,365,178,gDNA
ntc_day1_bc1_grna,366,148,gDNA
ntc_day1_bc1_grna,367,44,gDNA
ntc_day1_bc1_grna,368,1578,gDNA
ntc_day1_bc1_grna,370,598,gDNA
ntc_day1_bc1_grna,371,280,gDNA
ntc_day1_bc1_grna,372,311,gDNA
ntc_day1_bc1_grna,373,404,gDNA
ntc_day1_bc1_grna,374,288,gDNA
ntc_day1_bc1_grna,375,792,gDNA
ntc_day1_bc1_grna,376,133,gDNA
ntc_day1_bc1_grna,377,196,gDNA
ntc_day1_bc1_grna,378,978,gDNA
ntc_day1_bc1_grna,379,104,gDNA
ntc_day1_bc1_grna,380,769,gDNA
ntc_day1_bc1_grna,381,393,gDNA
ntc_day1_bc1_grna,382,271,gDNA
ntc_day1_bc1_grna,383,922,gDNA
