Distance (mm),Absorbance,sgRNA,Treatment,nuclease
21.5,0.07923799999999999,GCN1,HHT,+ micrococcal nuclease
21.6,0.080531,GCN1,HHT,+ micrococcal nuclease
21.7,0.075329,GCN1,HHT,+ micrococcal nuclease
21.8,0.07259800000000001,GCN1,HHT,+ micrococcal nuclease
21.9,0.06896400000000001,GCN1,HHT,+ micrococcal nuclease
22,0.066342,GCN1,HHT,+ micrococcal nuclease
22.1,0.065533,GCN1,HHT,+ micrococcal nuclease
22.2,0.061907000000000004,GCN1,HHT,+ micrococcal nuclease
22.3,0.060412999999999994,GCN1,HHT,+ micrococcal nuclease
22.4,0.058418,GCN1,HHT,+ micrococcal nuclease
22.5,0.057596999999999995,GCN1,HHT,+ micrococcal nuclease
22.59,0.057818999999999995,GCN1,HHT,+ micrococcal nuclease
22.7,0.05671899999999999,GCN1,HHT,+ micrococcal nuclease
22.79,0.055820999999999996,GCN1,HHT,+ micrococcal nuclease
22.9,0.05505,GCN1,HHT,+ micrococcal nuclease
23,0.056208999999999995,GCN1,HHT,+ micrococcal nuclease
23.1,0.05445699999999999,GCN1,HHT,+ micrococcal nuclease
23.19,0.05194599999999999,GCN1,HHT,+ micrococcal nuclease
23.29,0.051812,GCN1,HHT,+ micrococcal nuclease
23.39,0.05190499999999999,GCN1,HHT,+ micrococcal nuclease
23.49,0.053332000000000004,GCN1,HHT,+ micrococcal nuclease
23.59,0.051184999999999994,GCN1,HHT,+ micrococcal nuclease
23.69,0.05148,GCN1,HHT,+ micrococcal nuclease
23.79,0.051332,GCN1,HHT,+ micrococcal nuclease
23.89,0.05184,GCN1,HHT,+ micrococcal nuclease
23.99,0.05102999999999999,GCN1,HHT,+ micrococcal nuclease
24.09,0.05000299999999999,GCN1,HHT,+ micrococcal nuclease
24.19,0.050161,GCN1,HHT,+ micrococcal nuclease
24.29,0.050328,GCN1,HHT,+ micrococcal nuclease
24.39,0.049453,GCN1,HHT,+ micrococcal nuclease
24.49,0.049484,GCN1,HHT,+ micrococcal nuclease
