treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,MRPL20,-0.090262,1,0.46925,day5,-0.84731,0.266614,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,GTF3A,-0.085768,1,0.44632,day13,-1.5325,0.356899,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,GTF3A,-0.085768,1,0.44632,day5,0.22188,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NPM1,-0.034146,1,0.78511,day13,-0.76829,0.442728,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NPM1,-0.034146,1,0.78511,day5,0.40243,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX52,-0.037148,1,0.51158,day13,-3.1809,0.099448,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DDX52,-0.037148,1,0.51158,day5,-0.075001,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP23,-0.22307,0.197028,0.18613,day13,-0.82143,0.293537,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP23,-0.22307,0.197028,0.18613,day5,0.66986,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3J,-0.088701,1,0.46526,day13,-0.050473,NA,5 EIF3
heavy,mono,rep1,EIF3J,-0.088701,1,0.46526,day5,0.59021,NA,5 EIF3
heavy,mono,rep1,PSMD1,-0.32316,0.050042,0.035168,day13,-1.4785,0.288386,6 Proteasome
heavy,mono,rep1,PSMD1,-0.32316,0.050042,0.035168,day5,0.35383,NA,6 Proteasome
heavy,mono,rep1,RIOK1,0.0064751,1,0.8467,day13,-1.4309,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK1,0.0064751,1,0.8467,day5,-0.58942,0.393458,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J,-0.090058,1,0.71694,day13,-3.8003,0.091079,7 RNA polymerase II
heavy,mono,rep1,POLR2J,-0.090058,1,0.71694,day5,-1.3723,0.246416,7 RNA polymerase II
heavy,mono,rep1,PSMD4,-0.069265,1,0.80114,day13,-2.5824,0.123188,6 Proteasome
heavy,mono,rep1,PSMD4,-0.069265,1,0.80114,day5,-1.0457,0.295797,6 Proteasome
heavy,mono,rep1,EIF3L,-0.026932,1,0.68673,day13,1.0865,NA,5 EIF3
heavy,mono,rep1,EIF3L,-0.026932,1,0.68673,day5,0.40414,NA,5 EIF3
heavy,mono,rep1,POLR2I,-0.055879,1,0.83676,day13,-1.4266,0.145202,7 RNA polymerase II
heavy,mono,rep1,POLR2I,-0.055879,1,0.83676,day5,-0.36693,NA,7 RNA polymerase II
heavy,mono,rep1,LSM6,-0.35203,0.099928,0.077824,day13,-2.4584,0.066244,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,LSM6,-0.35203,0.099928,0.077824,day5,0.24913,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS9,-1.9313,1,0.022141,day13,-1.5595,0.201939,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS9,-1.9313,1,0.022141,day5,-1.0196,0.332761,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3M,-0.041128,1,0.38222,day13,-0.051134,NA,5 EIF3
heavy,mono,rep1,EIF3M,-0.041128,1,0.38222,day5,0.47393,NA,5 EIF3
heavy,mono,rep1,RPS26,-0.69413,0.036925,0.025099,day13,-2.3932,0.121507,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS26,-0.69413,0.036925,0.025099,day5,-1.6641,0.186119,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS2,-1.1391,0.011677,0.0056503,day13,-3.1181,0.121296,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS2,-1.1391,0.011677,0.0056503,day5,-0.26391,0.388826,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR2,-0.33,0.084283,0.063697,day13,-2.3119,0.136989,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR2,-0.33,0.084283,0.063697,day5,-0.61005,0.332761,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS17,-1.036,0.018579,0.010189,day13,-2.1456,0.217877,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS17,-1.036,0.018579,0.010189,day5,-0.021474,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL14,-2.8174,1,0.053217,day13,-2.6045,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL14,-2.8174,1,0.053217,day5,-3.5168,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NGDN,-0.59992,0.017704,0.0094639,day13,-4.3062,0.029428,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NGDN,-0.59992,0.017704,0.0094639,day5,-0.25363,0.230609,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3CL,-0.8987,0.158171,0.1374,day13,-1.3564,0.229774,5 EIF3
heavy,mono,rep1,EIF3CL,-0.8987,0.158171,0.1374,day5,-0.99529,0.303302,5 EIF3
heavy,mono,rep1,PSMA3,-0.54664,0.132382,0.1089,day13,-1.8698,0.142773,6 Proteasome
heavy,mono,rep1,PSMA3,-0.54664,0.132382,0.1089,day5,-0.40514,0.378481,6 Proteasome
heavy,mono,rep1,NOL11,-0.42311,0.034023,0.022264,day13,-0.83572,0.38155,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOL11,-0.42311,0.034023,0.022264,day5,0.18562,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NHP2,-0.13585,0.127375,0.10419,day13,-3.4766,0.057401,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NHP2,-0.13585,0.127375,0.10419,day5,0.19773,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3F,-0.46614,0.096564,0.074092,day13,-2.6313,0.128137,5 EIF3
heavy,mono,rep1,EIF3F,-0.46614,0.096564,0.074092,day5,-1.2609,0.299004,5 EIF3
heavy,mono,rep1,PSMD11,-0.47,0.098194,0.075569,day13,-2.142,0.217236,6 Proteasome
heavy,mono,rep1,PSMD11,-0.47,0.098194,0.075569,day5,-0.36868,NA,6 Proteasome
heavy,mono,rep1,NOM1,-0.25813,0.066497,0.048724,day13,-0.59682,0.40813,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOM1,-0.25813,0.066497,0.048724,day5,-0.52028,0.257323,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMB3,-0.57093,0.066248,0.048388,day13,-2.9028,0.121507,6 Proteasome
heavy,mono,rep1,PSMB3,-0.57093,0.066248,0.048388,day5,-1.0818,0.223192,6 Proteasome
heavy,mono,rep1,PSMA6,-0.64303,0.195442,0.18238,day13,-3.4907,0.038548,6 Proteasome
heavy,mono,rep1,PSMA6,-0.64303,0.195442,0.18238,day5,-1.8596,0.098893,6 Proteasome
heavy,mono,rep1,RPS14,-2.0613,1,0.028414,day13,-1.9625,0.244937,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS14,-2.0613,1,0.028414,day5,-1.4393,0.216517,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27,-0.55979,0.042299,0.029239,day13,-2.0545,0.129422,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS27,-0.55979,0.042299,0.029239,day5,-1.1082,0.300585,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL29,-0.83313,0.09384,0.071569,day13,-0.59651,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL29,-0.83313,0.09384,0.071569,day5,-1.9514,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,WDR46,-0.71252,0.017174,0.008943,day13,-1.9124,0.275745,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,WDR46,-0.71252,0.017174,0.008943,day5,0.028369,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS5,-1.9251,1,0.022318,day13,-2.3391,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS5,-1.9251,1,0.022318,day5,-0.79832,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,MRTO4,-0.89561,0.02273,0.01325,day13,-2.3485,0.189387,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRTO4,-0.89561,0.02273,0.01325,day5,-0.56023,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PSMD7,-0.82863,0.017262,0.0091106,day13,-3.9271,0.041664,6 Proteasome
heavy,mono,rep1,PSMD7,-0.82863,0.017262,0.0091106,day5,-1.6892,0.079733,6 Proteasome
heavy,mono,rep1,PSMA4,-0.85263,0.034023,0.022064,day13,-2.5632,0.185555,6 Proteasome
heavy,mono,rep1,PSMA4,-0.85263,0.034023,0.022064,day5,-0.70359,0.333004,6 Proteasome
heavy,mono,rep1,TBL3,-0.53235,0.037803,0.025783,day13,-2.4762,0.172174,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TBL3,-0.53235,0.037803,0.025783,day5,-0.69563,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PWP2,-0.82046,0.018312,0.0099576,day13,-1.8092,0.289331,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PWP2,-0.82046,0.018312,0.0099576,day5,-1.2037,0.199906,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ZNHIT6,-0.3959,0.036001,0.024139,day13,-2.3156,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ZNHIT6,-0.3959,0.036001,0.024139,day5,0.073903,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,TSR1,-0.59335,0.017262,0.0091876,day13,-2.1387,0.128695,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,TSR1,-0.59335,0.017262,0.0091876,day5,0.025586,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SRFBP1,-0.33392,0.035835,0.023862,day13,-1.0671,0.187175,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SRFBP1,-0.33392,0.035835,0.023862,day5,0.28152,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS28,-1.0963,0.027524,0.017123,day13,-4.0943,0.061621,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS28,-1.0963,0.027524,0.017123,day5,-0.39534,0.338665,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RRP7A,-0.4817,0.034023,0.022191,day13,-1.0119,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RRP7A,-0.4817,0.034023,0.022191,day5,0.89035,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMC4,-0.96024,0.032084,0.02033,day13,-2.3394,0.055467,6 Proteasome
heavy,mono,rep1,PSMC4,-0.96024,0.032084,0.02033,day5,-1.7512,0.186119,6 Proteasome
heavy,mono,rep1,NAT10,-0.41706,0.024541,0.014845,day13,-2.0477,0.187595,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NAT10,-0.41706,0.024541,0.014845,day5,0.2245,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,PSMC1,-0.42244,0.024002,0.014324,day13,-2.8969,0.068528,6 Proteasome
heavy,mono,rep1,PSMC1,-0.42244,0.024002,0.014324,day5,-0.041868,0.46458,6 Proteasome
heavy,mono,rep1,NOB1,-0.38949,0.023485,0.013853,day13,-1.5685,0.121507,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOB1,-0.38949,0.023485,0.013853,day5,-0.20114,0.49595,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,FCF1,-0.56318,0.022555,0.013096,day13,-1.8562,0.133078,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,FCF1,-0.56318,0.022555,0.013096,day5,0.31306,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS3A,-1.7907,0.018789,0.010347,day13,-2.8909,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS3A,-1.7907,0.018789,0.010347,day5,-0.060909,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ZNF622,-0.70397,0.021119,0.012068,day13,-1.1411,0.432514,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ZNF622,-0.70397,0.021119,0.012068,day5,-0.14908,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RRP15,-1.4825,0.017262,0.0091786,day13,-1.214,0.416031,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RRP15,-1.4825,0.017262,0.0091786,day5,-0.38087,0.492799,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,ABT1,-0.77862,0.020268,0.011348,day13,-2.3323,0.100416,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,ABT1,-0.77862,0.020268,0.011348,day5,0.23806,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DDX18,-0.66503,0.020085,0.011153,day13,-1.4015,0.088846,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX18,-0.66503,0.020085,0.011153,day5,-0.043999,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,PSMA1,-0.55679,0.017262,0.0091333,day13,-1.7577,0.242252,6 Proteasome
heavy,mono,rep1,PSMA1,-0.55679,0.017262,0.0091333,day5,0.54937,NA,6 Proteasome
heavy,mono,rep1,WDR3,-0.43548,0.016682,0.0086486,day13,-3.6238,0.040892,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,WDR3,-0.43548,0.016682,0.0086486,day5,-0.51917,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPSA,-1.3469,0.016166,0.008232,day13,-2.0633,0.244937,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPSA,-1.3469,0.016166,0.008232,day5,-0.94996,0.332761,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DHX37,-0.88924,0.013207,0.0065425,day13,-1.9811,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DHX37,-0.88924,0.013207,0.0065425,day5,-0.16621,0.49595,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS7,-0.95225,0.013411,0.0067056,day13,-3.2779,0.051492,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS7,-0.95225,0.013411,0.0067056,day5,-0.64438,0.21408,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39,-0.54319,0.013291,0.006615,day13,-1.2762,0.371047,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL39,-0.54319,0.013291,0.006615,day5,-0.87428,0.251387,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL8,-3.9892,8.2e-5,6.7939e-6,day13,-3.0048,0.079374,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL8,-3.9892,8.2e-5,6.7939e-6,day5,-0.68179,0.257349,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPS10,-1.4646,0.009783,0.0044183,day13,-2.5001,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS10,-1.4646,0.009783,0.0044183,day5,-0.58312,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK2,-0.52709,0.011195,0.0052879,day13,-0.12519,0.521507,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK2,-0.52709,0.011195,0.0052879,day5,0.007344,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL41,-0.39683,0.010899,0.0050977,day13,0.35999,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL41,-0.39683,0.010899,0.0050977,day5,0.10063,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,XRCC5,-0.48081,0.010505,0.0048893,day13,-3.7894,0.051492,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,XRCC5,-0.48081,0.010505,0.0048893,day5,-0.6378,0.230732,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,BYSL,-0.46845,0.010505,0.0048576,day13,-1.0889,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,BYSL,-0.46845,0.010505,0.0048576,day5,0.36409,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4X,-1.0866,0.008227,0.003526,day13,-2.1245,0.11463,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS4X,-1.0866,0.008227,0.003526,day5,-1.2119,0.223192,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3B,-1.274,0.00957,0.0042643,day13,-1.6664,0.185555,5 EIF3
heavy,mono,rep1,EIF3B,-1.274,0.00957,0.0042643,day5,-1.288,0.216517,5 EIF3
heavy,mono,rep1,NOP14,-0.49582,0.009342,0.004133,day13,-2.2055,0.067258,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,NOP14,-0.49582,0.009342,0.004133,day5,0.32268,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPL7L1,-1.2738,0.007169,0.0029735,day13,-1.4446,0.334112,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL7L1,-1.2738,0.007169,0.0029735,day5,-0.49154,0.488516,"1 60S ribosome 
& biogenesis"
