sample_name,relative_start,n
sgfluc_dmso,27,0.16410611976790862
sgfluc_dmso,28,0.2252673064992884
sgfluc_dmso,29,0.24205378973105135
sgfluc_dmso,30,0.14432726343830968
sgfluc_dmso,31,0.21599824836696713
sgfluc_dmso,32,0.25234463379921906
sgfluc_dmso,33,0.21986643798124292
sgfluc_dmso,34,0.28653797029522315
sgfluc_dmso,35,0.2567237163814181
sgfluc_dmso,36,0.1927526183264606
sgfluc_dmso,37,0.24767361237820676
sgfluc_dmso,38,0.2569061781556764
sgfluc_dmso,39,0.17005437360872896
sgfluc_dmso,40,0.24902382950771812
sgfluc_dmso,41,0.2776338357114185
sgfluc_dmso,42,0.1703828048023939
sgfluc_dmso,43,0.290406159909499
sgfluc_dmso,44,0.2881801262635478
sgfluc_dmso,45,0.25070247783089444
sgfluc_dmso,46,0.25369485092873045
sgfluc_dmso,47,0.30547750246323396
sgfluc_dmso,48,0.2084443309126738
sgfluc_dmso,49,0.3106229244973178
sgfluc_dmso,50,0.3232492792759917
sgfluc_dmso,51,0.18238878954858956
sgfluc_dmso,52,0.2693135788052403
sgfluc_dmso,53,0.3317519979564281
sgfluc_dmso,54,0.18487026967850234
sgfluc_dmso,55,0.27653906506586873
sgfluc_dmso,56,0.3043462394628325
sgfluc_dmso,57,0.1820968507097763
sgfluc_dmso,58,0.2577819946721162
sgfluc_dmso,59,0.3580264934496223
sgfluc_dmso,60,0.20052548990986388
sgfluc_dmso,61,0.27989636171222126
sgfluc_dmso,62,0.3182863190161661
sgfluc_dmso,63,0.1944312666496369
sgfluc_dmso,64,0.3049301171404591
sgfluc_dmso,65,0.42294639273072293
sgfluc_dmso,66,0.23282122395358174
sgfluc_dmso,67,0.2743860161296208
sgfluc_dmso,68,0.302047221107178
sgfluc_dmso,69,0.20092690581323214
sgfluc_dmso,70,0.2608473524796555
sgfluc_dmso,71,0.32441703463124477
sgfluc_dmso,72,0.1852716855818706
sgfluc_dmso,73,0.2998211874612269
sgfluc_dmso,74,0.3120461263365325
sgfluc_dmso,75,0.2238441046600737
sgfluc_dmso,76,0.3909061051709667
sgfluc_dmso,77,0.37331679013246727
sgfluc_dmso,78,0.2416523738276831
sgfluc_dmso,79,0.3024486370105463
sgfluc_dmso,80,0.416633215341386
sgfluc_dmso,81,0.25559245338101666
sgfluc_dmso,82,0.26821880815969057
sgfluc_dmso,83,0.32160712330766705
sgfluc_dmso,84,0.17220742254497684
sgfluc_dmso,85,0.30066051162281504
sgfluc_dmso,86,0.36944860051819145
sgfluc_dmso,87,0.23344159398605993
sgfluc_dmso,88,0.27624712622705544
sgfluc_dmso,89,0.3310586432142466
sgfluc_dmso,90,0.22979235850089405
sgfluc_dmso,91,0.32755537714848737
sgfluc_dmso,92,0.3486114658978944
sgfluc_dmso,93,0.2065832208152392
sgfluc_dmso,94,0.30230266759113966
sgfluc_dmso,95,0.34353902857351387
sgfluc_dmso,96,0.22880706491989927
sgfluc_dmso,97,0.29613545962120935
sgfluc_dmso,98,0.30168229755866144
sgfluc_dmso,99,0.21574280188300551
sgfluc_dmso,100,0.41630478414772104
sgfluc_dmso,101,0.3513119001569171
sgfluc_dmso,102,0.20840783855782213
sgfluc_dmso,103,0.27825420574389664
sgfluc_dmso,104,0.4109039156296756
sgfluc_dmso,105,0.19906579571579755
sgfluc_dmso,106,0.3247454658249097
sgfluc_dmso,107,0.34868445060759773
sgfluc_dmso,108,0.18366602196839762
sgfluc_dmso,109,0.35127540780206545
sgfluc_dmso,110,0.36485056380688247
sgfluc_dmso,111,0.24409736160274423
sgfluc_dmso,112,0.3385760683136883
sgfluc_dmso,113,0.3658723497427289
sgfluc_dmso,114,0.24278363682808451
sgfluc_dmso,115,0.3032149764624311
sgfluc_dmso,116,0.37897310513447435
sgfluc_dmso,117,0.19621939203736818
sgfluc_dmso,118,0.2947487501368463
sgfluc_dmso,119,0.41853081779367224
sgfluc_dmso,120,0.26690508338503083
sgfluc_dmso,121,0.39192789110681314
sgfluc_dmso,122,0.34751669525234463
sgfluc_dmso,123,0.20468561836295296
sgfluc_dmso,124,0.3571871692880342
sgfluc_dmso,125,0.39218333759077473
sgfluc_dmso,126,0.2103054410101084
sgfluc_dmso,127,0.3184687807904244
sgfluc_dmso,128,0.34598401634857495
sgfluc_dmso,129,0.22450096704740358
sgfluc_dmso,130,0.35291756377039013
sgfluc_dmso,131,0.329416487245922
sgfluc_dmso,132,0.23552165821260446
sgfluc_dmso,133,0.3103674780133562
sgfluc_dmso,134,0.3793745210378426
sgfluc_dmso,135,0.4425792796409152
sgfluc_dmso,136,0.3104039703682079
sgfluc_dmso,137,0.33620406524833046
sgfluc_dmso,138,0.27051782651534506
sgfluc_dmso,139,0.31044046272305953
sgfluc_dmso,140,0.36740502864649854
sgfluc_dmso,141,0.2211071780461993
sgfluc_dmso,142,0.34645841696164653
sgfluc_dmso,143,0.3632449001934095
sgfluc_dmso,144,0.19778856329598948
sgfluc_dmso,145,0.3607634200634967
sgfluc_dmso,146,0.46878079042440607
sgfluc_dmso,147,0.20760500675108565
sgfluc_dmso,148,0.32927051782651534
sgfluc_dmso,149,0.34262671970222236
sgfluc_dmso,150,0.24986315366930628
sgfluc_dmso,151,0.3607634200634967
sgfluc_dmso,152,0.34280918147648065
sgfluc_dmso,153,0.28193993358391417
sgfluc_dmso,154,0.3618946830638981
sgfluc_dmso,155,0.33591212640951723
sgfluc_dmso,156,0.23366054811516987
sgfluc_dmso,157,0.321935554501332
sgfluc_dmso,158,0.3094551691420647
sgfluc_dmso,159,0.19621939203736818
sgfluc_dmso,160,0.38415501952340986
sgfluc_dmso,161,0.34054665547567786
sgfluc_dmso,162,0.2583293799948911
sgfluc_dmso,163,0.3335401233441594
sgfluc_dmso,164,0.42528190344122907
sgfluc_dmso,165,0.22566872240265665
sgfluc_dmso,166,0.40962668320986756
sgfluc_dmso,167,0.3128124657884173
sgfluc_dmso,168,0.19114695471298762
sgfluc_dmso,169,0.3081779367222567
sgfluc_dmso,170,0.33127759734335654
sgfluc_dmso,171,0.2004160128453089
sgfluc_dmso,172,0.28449439842353025
sgfluc_dmso,173,0.33255482976316464
sgfluc_dmso,174,0.2095755939130752
sgfluc_dmso,175,0.31394372878881877
sgfluc_dmso,176,0.35357442615771995
sgfluc_dmso,177,0.28248731890668904
sgfluc_dmso,178,0.31478305295040687
sgfluc_dmso,179,0.31919862788745756
sgfluc_dmso,180,0.18851950516366822
sgfluc_dmso,181,0.3048206400759041
sgfluc_dmso,182,0.348866912381856
sgfluc_dmso,183,0.18501623909790899
sgfluc_dmso,184,0.32124219975915047
sgfluc_dmso,185,0.3520417472539503
sgfluc_dmso,186,0.24044812611757838
sgfluc_dmso,187,0.3224099551144035
sgfluc_dmso,188,0.3590117870306171
sgfluc_dmso,189,0.24011969492391344
sgfluc_dmso,190,0.33562018757070394
sgfluc_dmso,191,0.3844469583622231
sgfluc_dmso,192,0.23216436156625186
sgfluc_dmso,193,0.3320439367952414
sgfluc_dmso,194,0.39364303178484106
sgfluc_dmso,195,0.24854942889464657
sgfluc_dmso,196,0.34704229463927305
sgfluc_dmso,197,0.3529540561252418
sgfluc_dmso,198,0.1867678721307886
sgfluc_dmso,199,0.2896398204576141
sgfluc_hht,-49,0.0414177317300663
sgfluc_hht,-48,0.043535254228742847
sgfluc_hht,-47,0.03992202139369953
sgfluc_hht,-46,0.039098540421991984
sgfluc_hht,-45,0.043535254228742847
sgfluc_hht,-44,0.03874562000554589
sgfluc_hht,-43,0.03608191114808373
sgfluc_hht,-42,0.0370986580621308
sgfluc_hht,-41,0.04050181922071811
sgfluc_hht,-40,0.03909013755493374
sgfluc_hht,-39,0.04371171443696589
sgfluc_hht,-38,0.038493533993798686
sgfluc_hht,-37,0.041384120261833336
sgfluc_hht,-36,0.04588805700505012
sgfluc_hht,-35,0.03656927743746166
sgfluc_hht,-34,0.03195610342248775
sgfluc_hht,-33,0.03796415336912955
sgfluc_hht,-32,0.03434251766702799
sgfluc_hht,-31,0.0367037233103935
sgfluc_hht,-30,0.039577503844311676
sgfluc_hht,-29,0.0420647524935508
sgfluc_hht,-28,0.046930012520271916
sgfluc_hht,-27,0.056727755510180077
sgfluc_hht,-26,0.04329997395111212
sgfluc_hht,-25,0.03688018351861655
sgfluc_hht,-24,0.035199610106968496
sgfluc_hht,-23,0.03811540497617787
sgfluc_hht,-22,0.03261992992008873
sgfluc_hht,-21,0.03521641584108498
sgfluc_hht,-20,0.025721176065273472
sgfluc_hht,-19,0.020830707437377634
sgfluc_hht,-18,0.023637265034829883
sgfluc_hht,-17,0.022881006999588258
sgfluc_hht,-16,0.03123345685547909
sgfluc_hht,-15,0.07937348223213761
sgfluc_hht,-14,0.7254447217390574
sgfluc_hht,-13,1
sgfluc_hht,-12,0.7732990496357357
sgfluc_hht,-11,0.19897989193912963
sgfluc_hht,-10,0.17418303125026258
sgfluc_hht,-9,0.11593435680254102
sgfluc_hht,-8,0.1971144554522003
sgfluc_hht,-7,0.1862663540800121
sgfluc_hht,-6,0.1640239649768501
sgfluc_hht,-5,0.4172695723780954
sgfluc_hht,-4,0.22081054055643787
sgfluc_hht,-3,0.27950456695824616
sgfluc_hht,-2,0.2961086322653289
sgfluc_hht,-1,0.3401984757199156
sgfluc_hht,0,0.6106363491223206
sgfluc_hht,1,0.09075096422899494
sgfluc_hht,2,0.0907005470266455
sgfluc_hht,3,0.13324426294251598
sgfluc_hht,4,0.15562950078566806
sgfluc_hht,5,0.13875654373272162
sgfluc_hht,6,0.08651591923164184
sgfluc_hht,7,0.14068920315611685
sgfluc_hht,8,0.15376406429873873
sgfluc_hht,9,0.16241901736872622
sgfluc_hht,10,0.1849555068189266
sgfluc_hht,11,0.15182300200828522
sgfluc_hht,12,0.10855663952540606
sgfluc_hht,13,0.12111052291041703
sgfluc_hht,14,0.15400774744342768
sgfluc_hht,15,0.11535455897552245
sgfluc_hht,16,0.08236490290487114
sgfluc_hht,17,0.09452385153814481
sgfluc_hht,18,0.07474350248304722
sgfluc_hht,19,0.09783458115909148
sgfluc_hht,20,0.09380120497113616
sgfluc_hht,21,0.07572663792886132
sgfluc_hht,22,0.07369314410076719
sgfluc_hht,23,0.08912921088675456
sgfluc_hht,24,0.06411387565437328
sgfluc_hht,25,0.06859260379641534
sgfluc_hht,26,0.07671817624173367
sgfluc_hht,27,0.053484248825699326
sgfluc_hht,28,0.058282285915954524
sgfluc_hht,29,0.05771929382305242
sgfluc_hht,30,0.044644432680430564
sgfluc_hht,31,0.044938533027468974
sgfluc_hht,32,0.05930743569705984
sgfluc_hht,33,0.04177905501357063
sgfluc_hht,34,0.04680396951439831
sgfluc_hht,35,0.04837530565428924
sgfluc_hht,36,0.041333703059483896
sgfluc_hht,37,0.05729915047014041
sgfluc_hht,38,0.04381254884166478
sgfluc_hht,39,0.04222440696765736
sgfluc_hht,40,0.04190509801944423
sgfluc_hht,41,0.04312351374288907
sgfluc_hht,42,0.028813431142705893
sgfluc_hht,43,0.04361928289932525
sgfluc_hht,44,0.04251850731469577
sgfluc_hht,45,0.03472904955170704
sgfluc_hht,46,0.03988000705840833
sgfluc_hht,47,0.040720293764232356
sgfluc_hht,48,0.029048711420336618
sgfluc_hht,49,0.031619988740158145
sgfluc_hht,50,0.03441814347055215
sgfluc_hht,51,0.027300915072222643
sgfluc_hht,52,0.027637029754552254
sgfluc_hht,53,0.03236784390834153
sgfluc_hht,54,0.026779937314611747
sgfluc_hht,55,0.030880536439032998
sgfluc_hht,56,0.027040426193417195
sgfluc_hht,57,0.022796978329005856
sgfluc_hht,58,0.02502373809943953
sgfluc_hht,59,0.03087213357197476
sgfluc_hht,60,0.020654247229154588
sgfluc_hht,61,0.02409101985597486
sgfluc_hht,62,0.029292394565025588
sgfluc_hht,63,0.01975514045392288
sgfluc_hht,64,0.023292747485442033
sgfluc_hht,65,0.026368196828757972
sgfluc_hht,66,0.026183333753476687
sgfluc_hht,67,0.022124748964346633
sgfluc_hht,68,0.0265614627710975
sgfluc_hht,69,0.023477610560723318
sgfluc_hht,70,0.021175224986765485
sgfluc_hht,71,0.026729520112262303
sgfluc_hht,72,0.01794012116934298
sgfluc_hht,73,0.020603830026805145
sgfluc_hht,74,0.02348601342778156
sgfluc_hht,75,0.0167553169141311
sgfluc_hht,76,0.025494298654700983
sgfluc_hht,77,0.02377171090776173
sgfluc_hht,78,0.02411622845714958
sgfluc_hht,79,0.02008285226919425
sgfluc_hht,80,0.03062004756022755
sgfluc_hht,81,0.028225230448629072
sgfluc_hht,82,0.019057702488088937
sgfluc_hht,83,0.021544951137328055
sgfluc_hht,84,0.01699900005882007
sgfluc_hht,85,0.018637559135176923
sgfluc_hht,86,0.018276235851672592
