treatment,control,rep,gene,lfc,fdr,p_value,day,lfc.fitness,fdr.fitness,annotation
heavy,mono,rep1,RPL36AL,0.0055345,1,0.7032,day13,-3.6589,0.120511,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36AL,0.0055345,1,0.7032,day7,-0.57506,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36A,-0.078441,1,0.3366,day13,0.33401,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,RPL36A,-0.078441,1,0.3366,day7,-0.2304,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,HEATR1,-0.45961,0.058766,0.042111,day13,-4.0418,0.123192,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,HEATR1,-0.45961,0.058766,0.042111,day7,-0.7217,0.159446,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,SNU13,-0.024236,1,0.69021,day13,-4.4806,0.042586,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,SNU13,-0.024236,1,0.69021,day7,-2.756,0.009362,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPL20,-0.090262,1,0.46925,day13,-2.7793,0.047683,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,MRPL20,-0.090262,1,0.46925,day7,-0.028509,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,GTF3A,-0.085768,1,0.44632,day13,-1.6261,0.279856,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,GTF3A,-0.085768,1,0.44632,day7,0.43051,0.153879,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NPM1,-0.034146,1,0.78511,day13,-0.93262,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,NPM1,-0.034146,1,0.78511,day7,-0.074451,NA,"1 60S ribosome 
& biogenesis"
heavy,mono,rep1,DDX52,-0.037148,1,0.51158,day13,-4.5644,0.020736,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,DDX52,-0.037148,1,0.51158,day7,-0.48649,0.253946,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP23,-0.22307,0.197028,0.18613,day13,-2.7028,0.165213,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,UTP23,-0.22307,0.197028,0.18613,day7,-4.7581e-4,NA,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3J,-0.088701,1,0.46526,day13,0.70681,NA,5 EIF3
heavy,mono,rep1,EIF3J,-0.088701,1,0.46526,day7,0.33512,NA,5 EIF3
heavy,mono,rep1,PSMD1,-0.32316,0.050042,0.035168,day13,-1.2506,0.326212,6 Proteasome
heavy,mono,rep1,PSMD1,-0.32316,0.050042,0.035168,day7,-0.76712,0.17868,6 Proteasome
heavy,mono,rep1,RIOK1,0.0064751,1,0.8467,day13,-3.4015,0.093164,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RIOK1,0.0064751,1,0.8467,day7,-0.75332,0.273383,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,POLR2J,-0.090058,1,0.71694,day13,-5.5285,0.037733,7 RNA polymerase II
heavy,mono,rep1,POLR2J,-0.090058,1,0.71694,day7,-4.6051,0.004791,7 RNA polymerase II
heavy,mono,rep1,PSMD4,-0.069265,1,0.80114,day13,-4.4331,0.022412,6 Proteasome
heavy,mono,rep1,PSMD4,-0.069265,1,0.80114,day7,-1.0258,0.037751,6 Proteasome
heavy,mono,rep1,EIF3L,-0.026932,1,0.68673,day13,0.77925,NA,5 EIF3
heavy,mono,rep1,EIF3L,-0.026932,1,0.68673,day7,0.3043,0.28396,5 EIF3
heavy,mono,rep1,POLR2I,-0.055879,1,0.83676,day13,-4.461,0.086624,7 RNA polymerase II
heavy,mono,rep1,POLR2I,-0.055879,1,0.83676,day7,-2.9146,0.004551,7 RNA polymerase II
heavy,mono,rep1,LSM6,-0.35203,0.099928,0.077824,day13,-5.5188,0.01257,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,LSM6,-0.35203,0.099928,0.077824,day7,-2.4954,0.003243,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS9,-1.9313,1,0.022141,day13,-3.6111,0.028047,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS9,-1.9313,1,0.022141,day7,-2.609,0.031669,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,EIF3M,-0.041128,1,0.38222,day13,-1.1629,0.299281,5 EIF3
heavy,mono,rep1,EIF3M,-0.041128,1,0.38222,day7,-0.60217,0.17868,5 EIF3
heavy,mono,rep1,RPS26,-0.69413,0.036925,0.025099,day13,-5.7334,0.01013,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS26,-0.69413,0.036925,0.025099,day7,-2.9503,0.008957,"2 40S ribosome 
& biogenesis"
heavy,mono,rep1,RPS2,-1.1391,0.011677,0.0056503,day13,-3.2674,0.117881,"2 40S ribosome 
& biogenesis"
